p0,p1,p2,p3,p4,p5,p6,p7,size,objective,source,id,filename,speedup
4,sockets,close,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.3025,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_196.c,mmp_196,1.0426377597109304
8,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,M,8.28353,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_197.c,mmp_197,1.0450254903404705
4,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.28325,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_198.c,mmp_198,1.0450608155011618
4,sockets,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,M,8.30717,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_199.c,mmp_199,1.0420516252827376
4,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,L,12.5963,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_200.c,mmp_200,1.0395751133269293
8,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.5525,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_201.c,mmp_201,1.0432025492929695
192,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,L,12.6303,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_202.c,mmp_202,1.036776640301497
16,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,L,12.5962,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_203.c,mmp_203,1.0395833664120926
2,threads,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,L,12.5954,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_204.c,mmp_204,1.0396493958111692
192,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.5894,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_205.c,mmp_205,1.0401448837911258
32,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.576,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_206.c,mmp_206,1.0412531806615775
256,threads,close,dynamic, , ,#pragma omp for, ,L,12.5985,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_207.c,mmp_207,1.039393578600627
64,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.5762,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_208.c,mmp_208,1.0412366215550006
64,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.5874,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_209.c,mmp_209,1.0403101514212625
128,threads,master,dynamic, , ,#pragma omp for, ,L,12.5882,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_210.c,mmp_210,1.0402440380673963
4,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.5739,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_211.c,mmp_211,1.0414270830848027
16,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.6151,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_212.c,mmp_212,1.0380258579004527
256,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.6058,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_213.c,mmp_213,1.038791667327738
128,threads,master,static, , ,#pragma omp for nowait, ,L,12.5746,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_214.c,mmp_214,1.0413691091565536
4,threads,master,static, , ,#pragma omp for nowait, ,L,12.5768,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_215.c,mmp_215,1.0411869473952038
96,threads,master,static, , ,#pragma omp for nowait, ,L,12.6098,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_216.c,mmp_216,1.0384621484876841
32,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.5912,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_217.c,mmp_217,1.0399961878137112
64,threads,master,dynamic, , ,#pragma omp for, ,L,12.6072,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_218.c,mmp_218,1.0386763119487277
192,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.6113,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_219.c,mmp_219,1.0383386328134292
2,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.5826,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_220.c,mmp_220,1.0407070080905376
192,cores,master,dynamic, , ,#pragma omp for nowait, ,L,12.5735,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_221.c,mmp_221,1.0414602139420208
192,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,L,12.6205,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_222.c,mmp_222,1.0375817122934907
192,sockets,master,dynamic, , ,#pragma omp for nowait, ,L,12.5819,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_223.c,mmp_223,1.040764908320683
128,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.5946,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_224.c,mmp_224,1.0397154335985264
16,threads,master,dynamic, , ,#pragma omp for nowait, ,L,12.5886,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_225.c,mmp_225,1.0402109845415692
192,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6032,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_226.c,mmp_226,1.039005966738606
48,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.5909,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_227.c,mmp_227,1.0400209675241643
8,threads,master,static, , ,#pragma omp for nowait, ,L,12.584,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_228.c,mmp_228,1.0405912269548634
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6299,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_229.c,mmp_229,1.0368094759261752
4,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,L,12.5774,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_230.c,mmp_230,1.04113727797478
4,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,L,12.595,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_231.c,mmp_231,1.0396824136562126
192,cores,close,static, , ,#pragma omp for nowait, ,L,12.565,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_232.c,mmp_232,1.0421647433346597
192,cores,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.5892,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_233.c,mmp_233,1.0401614081911479
192,cores,spread,static, , ,#pragma omp for nowait, ,L,12.5775,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_234.c,mmp_234,1.0411290001987676
192,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.6015,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_235.c,mmp_235,1.0391461333968177
192,cores,spread,dynamic, , ,#pragma omp for nowait, ,L,12.5759,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_236.c,mmp_236,1.041261460412376
192,cores,master,static, , ,#pragma omp for nowait, ,L,12.6148,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_237.c,mmp_237,1.0380505438056884
192,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,L,12.5893,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_238.c,mmp_238,1.0401531459255082
192,threads,close,dynamic, , ,#pragma omp for nowait, ,L,12.5767,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_239.c,mmp_239,1.041195226092695
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,L,12.5814,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_240.c,mmp_240,1.0408062695725435
192,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6086,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_241.c,mmp_241,1.0385609821867614
192,threads,close,static, , ,#pragma omp for nowait, ,L,12.5846,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_242.c,mmp_242,1.0405416143540518
48,threads,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.5863,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_243.c,mmp_243,1.040401071005776
192,threads,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.5886,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_244.c,mmp_244,1.0402109845415692
192,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,L,12.6161,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_245.c,mmp_245,1.0379435800286936
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6236,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_246.c,mmp_246,1.0373269114990968
192,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.6256,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_247.c,mmp_247,1.0371625902927384
192,cores,spread,dynamic, , ,#pragma omp for, ,L,12.5749,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_248.c,mmp_248,1.0413442651631424
64,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.5681,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_249.c,mmp_249,1.0419076869216508
48,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.6137,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_250.c,mmp_250,1.038141068837851
64,cores,close,static, , ,#pragma omp for nowait, ,L,12.6361,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_251.c,mmp_251,1.0363007573539302
2,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.5592,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_252.c,mmp_252,1.0426460284094528
32,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.588,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_253.c,mmp_253,1.040260565618049
4,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.5861,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_254.c,mmp_254,1.0404176035467698
2,cores,close,static, , ,#pragma omp for nowait, ,L,12.5889,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_255.c,mmp_255,1.0401861957756435
256,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.5625,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_256.c,mmp_256,1.0423721393034826
8,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.6198,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_257.c,mmp_257,1.0376392652815416
16,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.5749,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_258.c,mmp_258,1.0413442651631424
8,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.6164,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_259.c,mmp_259,1.0379188992105512
96,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.6026,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_260.c,mmp_260,1.0390554330058877
8,cores,close,static, , ,#pragma omp for nowait, ,L,12.5915,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_261.c,mmp_261,1.0399714092840409
64,cores,close,dynamic, , ,#pragma omp for, ,L,12.6033,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_262.c,mmp_262,1.0389977228186267
2,sockets,close,dynamic, , ,#pragma omp for nowait, ,L,12.5966,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_263.c,mmp_263,1.03955035485766
2,cores,master,static, , ,#pragma omp for nowait, ,L,12.5905,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_264.c,mmp_264,1.0400540089750208
64,cores,master,dynamic, , ,#pragma omp for nowait, ,L,12.5993,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_265.c,mmp_265,1.0393275816910463
8,threads,spread,dynamic, , ,#pragma omp for nowait, ,L,12.6002,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_266.c,mmp_266,1.039253345184997
64,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.573,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_267.c,mmp_267,1.0415016304780083
64,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,L,12.6075,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_268.c,mmp_268,1.0386515962720602
8,sockets,master,dynamic, , ,#pragma omp for nowait, ,L,12.6563,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_269.c,mmp_269,1.0346467767040919
8,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,L,12.5914,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_270.c,mmp_270,1.039979668662738
8,cores,spread,dynamic, , ,#pragma omp for nowait, ,L,12.6322,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_271.c,mmp_271,1.0366206994822755
8,threads,master,static, ,#pragma unroll,#pragma omp for nowait, ,L,12.605,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_272.c,mmp_272,1.0388575961919873
8,threads,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,L,12.6322,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_273.c,mmp_273,1.0366206994822755
8,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,L,12.5993,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_274.c,mmp_274,1.0393275816910463
8,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.6231,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_275.c,mmp_275,1.037367999936624
8,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6188,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_276.c,mmp_276,1.037721494912353
64,cores,spread,dynamic, , ,#pragma omp for nowait, ,L,12.6143,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_277.c,mmp_277,1.0380916895903856
8,threads,master,dynamic, , ,#pragma omp for, ,L,12.6531,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_278.c,mmp_278,1.034908441409615
8,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6266,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_279.c,mmp_279,1.037080449210397
256,cores,close,static, , ,#pragma omp for nowait, ,L,12.5998,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_280.c,mmp_280,1.039286337878379
8,threads,close,dynamic, , ,#pragma omp for nowait, ,L,12.6237,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_281.c,mmp_281,1.0373186942021753
128,cores,close,dynamic, , ,#pragma omp for nowait, ,L,12.6332,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_282.c,mmp_282,1.0365386442073266
2,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,L,12.6338,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_283.c,mmp_283,1.036489417277462
16,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6036,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_284.c,mmp_284,1.0389729918436001
256,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.6255,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_285.c,mmp_285,1.0371708051166288
2,cores,spread,dynamic, , ,#pragma omp for, ,L,12.6207,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_286.c,mmp_286,1.0375652697552433
16,cores,spread,dynamic, , ,#pragma omp for nowait, ,L,12.5991,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_287.c,mmp_287,1.0393440801327078
2,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,L,12.6389,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_288.c,mmp_288,1.036071177080284
2,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,L,12.6289,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_289.c,mmp_289,1.0368915740880045
2,threads,close,static, , ,#pragma omp for nowait, ,L,12.6232,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_290.c,mmp_290,1.037359781988719
2,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,L,12.628,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_291.c,mmp_291,1.0369654735508393
2,threads,close,dynamic, , ,#pragma omp for nowait, ,L,12.6196,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_292.c,mmp_292,1.0376557101651398
64,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.642,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_293.c,mmp_293,1.0358171175446922
4,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,L,12.6134,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_294.c,mmp_294,1.0381657602232546
192,sockets,spread,dynamic, , ,#pragma omp for nowait, ,L,12.6085,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_295.c,mmp_295,1.0385692191775389
64,sockets,close,static, , ,#pragma omp for nowait, ,L,12.6344,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_296.c,mmp_296,1.0364401950231115
192,sockets,close,static, , ,#pragma omp for, ,L,12.6226,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_297.c,mmp_297,1.0374090916292997
2,cores,spread,dynamic, , ,#pragma omp for nowait, ,L,12.6523,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_298.c,mmp_298,1.0349738782671924
2,threads,spread,dynamic, , ,#pragma omp for nowait, ,L,12.6357,results_rf_l_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_299.c,mmp_299,1.0363335628417896
