p0,p1,p2,p3,p4,p5,size,objective,source,id,filename,speedup
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,S,0.000366,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_019.c,mmp_019,1.6584699453551912
 , , ,100,32,4,S,0.000386,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_020.c,mmp_020,1.572538860103627
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,4,S,0.0003819999999999,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_021.c,mmp_021,1.5890052356025102
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,S,0.0027875,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_022.c,mmp_022,0.21775784753363228
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,S,0.000314,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_023.c,mmp_023,1.9331210191082804
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,64,S,0.000813,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_024.c,mmp_024,0.7466174661746617
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,4,S,0.0028285,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_025.c,mmp_025,0.21460137882269756
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,4,4,S,0.0058285,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_026.c,mmp_026,0.10414343313030797
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,4,S,0.0027489999999999,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_027.c,mmp_027,0.22080756638778543
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,S,0.0003845,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_028.c,mmp_028,1.578673602080624
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4,S,0.002719,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_029.c,mmp_029,0.223243839646929
 , , ,50,32,4,S,0.0004,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_030.c,mmp_030,1.5174999999999998
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,4,S,0.0010785,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_031.c,mmp_031,0.5628187297171998
 , , ,50,20,4,S,0.0003965,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_032.c,mmp_032,1.5308953341740228
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,2048,4,S,0.00204,results_rf_s_heat_3d,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/heat3d/mmp_033.c,mmp_033,0.29754901960784313
