p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
64,100,#pragma clang loop unrolling full, ,2,128,160,disabled,cores,30.954009999999997,1560.79806886835,281.62280583381647
64,100, , ,64,64,100,balanced,cores,29.65375,1577.5567861689751,561.6446325778961
64,100, , ,256,96,200,disabled,sockets,29.460685,1580.5584350452539,846.6444778442383
48,100,#pragma clang loop unrolling full, ,96,32,200,disabled,cores,28.36111,1633.685437470023,1135.4591908454895
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,200,disabled,sockets,18.64622,1651.5517408736505,1332.9265835285187
32,1280, , ,128,32,160,disabled,sockets,32.06264,1657.1695172014427,1620.4474396705627
32,100, , ,96,64,80,compact,sockets,28.945384999999998,1714.5294480007553,1906.1222882270813
32,100,#pragma clang loop unrolling full, ,128,64,200,compact,sockets,28.911955,1735.7095892127538,2193.0238361358647
48,100, ,#pragma omp parallel for,32,4,160,balanced,sockets,23.00009,1743.8213720487588,2429.9247834682465
64,100, , ,64,256,10,disabled,sockets,29.406809999999997,1774.0659915139056,2710.2428193092346
64,640, , ,96,4,64,disabled,sockets,22.506345,1809.1874149318246,2946.9482867717743
32,100, ,#pragma omp parallel for,128,8,10,disabled,sockets,28.243534999999998,1828.8850796401366,3228.461301088333
48,100,#pragma clang loop unrolling full, ,4,4,100,disabled,sockets,32.20635,1845.627323701084,3524.3376817703247
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,10,disabled,threads,27.40331,1852.040144478432,3800.734541416168
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,64,compact,sockets,20.50906,1853.0620646380355,4001.154863834381
32,100, , ,8,256,128,compact,threads,28.916275,1855.7526520268973,4285.544759035111
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,128,balanced,sockets,26.056060000000002,1874.5493175077347,4539.623443126679
32,100, ,#pragma omp parallel for,64,32,100,explicit,cores,29.331709999999998,1919.209167820972,4824.729599952698
48,100, , ,96,128,200,compact,cores,22.296635000000002,1926.20675858492,5038.937631607057
64,100, , ,32,64,100,balanced,cores,29.700725,1939.2893026060208,5319.346514701843
48,100,#pragma clang loop unrolling full, ,8,64,200,balanced,threads,26.846145,1951.3795164838862,5588.541042804718
32,100, , ,32,32,160,compact,threads,26.196935,1958.7745014894736,5850.563907623291
64,100, , ,4,32,128,disabled,threads,30.19742,1962.0072630352872,6137.029339075089
48,100, , ,256,64,64,disabled,sockets,32.09265499999999,1990.606134154205,6436.4335391521445
32,100,#pragma clang loop unrolling full, ,32,16,200,disabled,threads,32.033654999999996,1995.8076102535942,6737.538540363312
48,100, , ,32,64,64,explicit,sockets,29.60513,2006.7841812414385,7024.944267511369
64,100, , ,256,64,128,disabled,threads,28.862715,2014.8104660972629,7306.755025386809
64,100,#pragma clang loop unrolling full, ,8,64,128,balanced,sockets,29.646359999999998,2016.3093142394823,7587.528445482253
64,100, , ,256,32,100,compact,sockets,20.00714,2020.7179498280116,7782.649887323379
32,100,#pragma clang loop unrolling full, ,64,256,100,explicit,cores,31.790875,2024.9181610509115,8077.932697057725
64,100, ,#pragma omp parallel for,2,96,80,explicit,sockets,27.860660000000006,2047.8515253248768,8346.747524499893
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,200,balanced,sockets,19.102175,2054.978084362068,8551.647277593613
32,100, , ,2,32,10,balanced,threads,31.94238,2057.777975105737,8851.7465903759
32,100, , ,8,256,64,disabled,cores,31.842535,2063.638557059848,9146.632124900818
64,100,#pragma clang loop unrolling full, ,4,128,200,disabled,threads,29.3679,2063.9137671044655,9436.367779493332
64,100, , ,32,64,64,compact,sockets,19.865779999999997,2077.8973324395047,9630.834793567656
64,100,#pragma clang loop unrolling full, ,4,4,80,compact,cores,18.919175000000006,2078.7524544430407,9829.460423946379
