p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
32,1000,#pragma clang loop unrolling full, ,256,128,200,none,sockets,-1.6250683333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000,#pragma clang loop unrolling full, ,96,128,100,explicit,cores,-0.5790583333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,100,explicit,cores,-1.2244233333333332,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,100,none,threads,-1.4388116666666664,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, , ,256,128,100,none,threads,-1.2366816666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,96,128,100,none,cores,-1.462835,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,256,128,100,none,cores,-1.3368183333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,100,explicit,cores,-1.2712716666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,256,128,200,explicit,threads,-1.4351450000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,200,none,sockets,-1.4604916666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800,#pragma clang loop unrolling full, ,4,128,64,explicit,cores,-1.6456766666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, , ,96,256,200,explicit,cores,-1.31185,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,200,none,threads,-1.4211883333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,explicit,sockets,-1.1233466666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,100,explicit,sockets,-1.2004733333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,2000, , ,256,256,100,none,cores,-0.5886116666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,none,cores,-0.857222520354078,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-0.6303558968574797,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full, ,96,2,200,none,sockets,-0.7453199036898843,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,100,none,sockets,-0.689213305925679,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,256,256,100,none,threads,-1.32772,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, , ,96,256,100,none,cores,-1.440735,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full, ,256,96,200,explicit,cores,-1.2394566666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,none,cores,-1.2190683333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,200,explicit,cores,-1.4245349999999999,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,256,256,100,none,cores,-0.7926368300677558,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,2000, ,#pragma omp parallel for,64,256,100,none,cores,-0.6458219191990793,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,2000, , ,256,256,64,none,cores,-0.9071871260108973,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,200,none,cores,-0.8031963177948508,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,128,200,none,cores,-1.4791400000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-0.5794333333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,200,none,sockets,-0.5813983333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,1000,#pragma clang loop unrolling full, ,256,256,200,explicit,cores,-1.2235316666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,400,#pragma clang loop unrolling full, ,16,256,200,none,cores,-1.4940983333333335,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,explicit,cores,-0.9695914675502566,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,sockets,-0.5892942760777239,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,none,cores,-1.0336947656926385,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, ,#pragma omp parallel for,256,256,200,none,sockets,-0.6528770794146297,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,200,none,sockets,-0.6572447380077872,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,100,explicit,cores,-1.3983499999999998,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,none,sockets,-1.4391333333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,explicit,cores,-0.58082,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,1000,#pragma clang loop unrolling full, ,256,128,100,explicit,cores,-1.3948516666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1000,#pragma clang loop unrolling full, ,96,128,100,none,sockets,-1.1160666666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, ,#pragma omp parallel for,256,128,100,explicit,cores,-0.7102301064058845,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,none,cores,-0.5983522270472271,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,100,explicit,cores,-0.7355950439105556,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, , ,256,128,200,explicit,sockets,-0.9108961209165058,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, , ,256,128,64,explicit,cores,-1.4176016666666664,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,none,threads,-1.3461516666666666,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,explicit,sockets,-1.4707800000000002,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,none,cores,-1.3486550000000002,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,scatter,cores,-1.341175,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
32,2000, , ,96,96,100,none,cores,-0.5112225297915576,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,2000,#pragma clang loop unrolling full, ,96,128,100,none,sockets,-0.7003360641711259,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,32,256,100,none,cores,-0.18999568065634645,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,explicit,cores,-0.2687830495795378,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,200,#pragma clang loop unrolling full, ,32,256,100,none,cores,-0.4246039339108907,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,1000,#pragma clang loop unrolling full, ,256,128,100,explicit,sockets,-0.5156565522775054,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,2000,#pragma clang loop unrolling full, ,8,64,100,none,cores,-1.1843566666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,2000, , ,96,256,100,none,sockets,-0.5908133333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,32,256,100,balanced,cores,-1.3586533333333335,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,128,100,none,cores,-1.381058333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,2000, ,#pragma omp parallel for,96,16,100,none,sockets,-1.2022316666666664,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,none,cores,-0.7077895007282194,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,1000,#pragma clang loop unrolling full, ,32,4,100,none,cores,-0.4445097482490939,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,96,128,100,none,cores,-0.627719724953711,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,none,cores,-1.1859833333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1280, , ,96,128,100,none,cores,-1.1156316666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,96,256,80,none,sockets,-1.3582433333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,2000, , ,96,16,100,none,cores,-4.443246666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1600, , ,64,4,200,explicit,sockets,-0.5891799999999999,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,none,sockets,-0.8336731344461441,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,20,none,sockets,-7.663825286579603e-11,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,200, ,#pragma omp parallel for,96,16,64,none,cores,-1.3402333333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
