p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
48,1000, , ,32,4,80,compact,sockets,4.8519000000000005,2377.0321819782257
48,1000, ,#pragma omp parallel for,256,16,20,compact,sockets,4.68147,2408.2526235580444
48,1000,#pragma clang loop unrolling full, ,256,128,40,scatter,sockets,4.685485,2438.341611146927
48,1000, ,#pragma omp parallel for,256,256,64,compact,sockets,4.63147,2468.461282014847
48,1000,#pragma clang loop unrolling full, ,256,16,128,scatter,sockets,4.663715,2498.4451565742493
48,1000, , ,256,16,160,scatter,sockets,4.729045,2528.3439462184906
48,1000, ,#pragma omp parallel for,256,256,200,explicit,sockets,4.652085,2558.9255776405334
48,1000,#pragma clang loop unrolling full, ,256,128,128,compact,sockets,4.69109,2589.1640651226044
48,1000,#pragma clang loop unrolling full, ,2,2,128,balanced,sockets,4.69421,2619.6783254146576
48,1000,#pragma clang loop unrolling full, ,256,256,64,none,sockets,4.669779999999999,2649.917180299759
48,1000, , ,256,256,64,scatter,sockets,4.76715,2680.645780324936
48,1000,#pragma clang loop unrolling full, ,256,128,128,none,sockets,4.7018699999999995,2710.8346767425537
48,1000, ,#pragma omp parallel for,256,128,128,disabled,sockets,4.6755700000000004,2741.3805084228516
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,160,balanced,sockets,4.683815,2771.849816083908
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,200,balanced,sockets,4.738765,2802.672755241394
48,1000, ,#pragma omp parallel for,4,96,160,balanced,sockets,4.74167,2833.2135219573975
48,1000, ,#pragma omp parallel for,4,96,200,compact,sockets,4.73053,2863.8496663570404
48,1000, ,#pragma omp parallel for,8,64,20,balanced,sockets,4.715555,2893.993611097336
48,1000, ,#pragma omp parallel for,96,4,160,disabled,sockets,4.678065,2924.1792838573456
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,128,disabled,sockets,4.68361,2954.5067324638367
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,20,compact,sockets,4.70331,2984.9315886497498
48,1000, , ,96,4,160,disabled,sockets,4.649445,3014.9375960826874
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,200,compact,sockets,4.7736149999999995,3045.440658569336
48,1000,#pragma clang loop unrolling full, ,96,16,200,explicit,sockets,4.742195,3075.6430542469025
48,1000, ,#pragma omp parallel for,128,8,80,compact,sockets,4.71993,3106.630082845688
48,1000, ,#pragma omp parallel for,32,32,64,balanced,sockets,4.85374,3137.5020933151245
48,640, , ,2,256,40,disabled,sockets,4.63097,3167.426243543625
48,640,#pragma clang loop unrolling full, ,2,256,200,disabled,sockets,4.75124,3197.538139104843
48,1280, ,#pragma omp parallel for,2,64,128,compact,sockets,4.64471,3227.6847591400146
48,640, , ,64,64,40,compact,sockets,4.66278,3257.685861349106
48,640, , ,16,64,100,compact,sockets,4.64469,3287.6518590450287
48,1280, ,#pragma omp parallel for,96,16,200,disabled,sockets,4.740640000000001,3318.1908559799194
48,200, , ,4,16,40,disabled,sockets,4.6462900000000005,3348.559429168701
48,1280, , ,4,128,80,disabled,sockets,4.75469,3378.9355919361115
48,1000, , ,256,64,64,explicit,sockets,4.677754999999999,3408.8525989055634
48,1280,#pragma clang loop unrolling full, ,96,256,40,disabled,sockets,4.653085000000001,3438.8593924045563
48,1280, , ,4,128,200,disabled,sockets,4.684215,3469.1566157341003
48,1280,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,40,disabled,sockets,4.673715,3499.5142352581024
48,1280, ,#pragma omp parallel for,32,64,160,compact,sockets,4.710380000000001,3529.9078855514526
48,1280,#pragma clang loop unrolling full, ,2,64,40,compact,sockets,4.760904999999999,3560.1932179927826
48,1000, , ,8,64,200,explicit,sockets,4.702255,3590.186679840088
48,640, , ,16,64,10,disabled,sockets,4.618365,3620.538462638855
48,800,#pragma clang loop unrolling full, ,16,64,10,disabled,sockets,4.627415,3650.4479434490204
48,640, , ,8,64,10,disabled,sockets,4.676375,3681.3712430000305
48,640, , ,96,16,10,compact,sockets,4.636324999999999,3711.6141123771667
48,800, , ,96,256,10,compact,sockets,4.732,3742.538176059723
48,640, , ,4,16,10,explicit,sockets,4.72372,3772.7306835651398
48,200, , ,256,64,10,disabled,sockets,4.606450000000001,3802.6439278125763
48,200, , ,8,16,100,compact,sockets,4.66866,3832.86239695549
48,200, , ,8,2,40,disabled,sockets,4.60279,3862.807404756546
48,200, , ,256,96,100,disabled,sockets,4.8752949999999995,3893.175995826721
48,200,#pragma clang loop unrolling full, ,96,64,160,disabled,sockets,4.620125,3923.1026740074158
48,200, ,#pragma omp parallel for,16,64,64,disabled,sockets,4.78651,3953.5807871818542
48,200,#pragma clang loop unrolling full, ,4,128,128,disabled,sockets,4.690265,3986.000554561615
48,200, ,#pragma omp parallel for,32,64,10,compact,sockets,4.806565,4016.7444155216217
48,200,#pragma clang loop unrolling full, ,128,32,10,disabled,sockets,4.71054,4046.8407895565033
48,2000,#pragma clang loop unrolling full, ,128,64,10,disabled,sockets,4.684075,4078.716064453125
48,1600, , ,128,256,20,disabled,sockets,4.695315,4109.084767341614
48,200, , ,16,256,20,disabled,sockets,4.62739,4139.131270170212
48,200,#pragma clang loop unrolling full, ,64,16,100,compact,sockets,4.625225,4169.333011627197
48,200,#pragma clang loop unrolling full, ,8,16,160,compact,sockets,4.78294,4199.480030059814
48,200, , ,16,64,100,explicit,sockets,4.603630000000001,4229.769313573837
48,100, , ,128,16,80,disabled,sockets,4.6396049999999995,4259.671211242676
48,1000, ,#pragma omp parallel for,128,8,200,compact,sockets,4.66638,4290.102858543396
48,1000, ,#pragma omp parallel for,128,8,128,disabled,sockets,4.682695000000001,4320.5713810920715
48,100, ,#pragma omp parallel for,128,4,200,disabled,sockets,4.601595,4351.303348779678
48,400, ,#pragma omp parallel for,8,4,40,disabled,sockets,4.740475,4381.792691707611
48,800, ,#pragma omp parallel for,128,64,200,disabled,sockets,4.777075,4412.467736959457
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,128,compact,sockets,4.80671,4448.090574502945
48,1600, , ,256,96,200,none,threads,4.910489999999999,4478.584276914597
48,400, , ,96,96,200,disabled,threads,4.678155,4508.804997205734
48,1000, ,#pragma omp parallel for,2,64,200,explicit,threads,4.731615,4539.46239066124
48,1000,#pragma clang loop unrolling full, ,16,2,100,disabled,threads,4.676235,4570.0007581710815
48,2000, , ,96,64,100,disabled,threads,4.83396,4600.3039457798
48,200,#pragma clang loop unrolling full, ,16,4,100,disabled,threads,4.5936699999999995,4629.880052566528
48,200, , ,16,64,128,scatter,threads,4.639245,4659.959164857864
48,1000,#pragma clang loop unrolling full, ,64,16,40,compact,threads,4.6708300000000005,4693.894849061966
48,400, , ,16,64,160,disabled,cores,4.671889999999999,4724.152126312256
16,1000,#pragma clang loop unrolling full, ,4,32,20,balanced,threads,6.449450000000001,4759.168021440506
48,1600,#pragma clang loop unrolling full, ,16,2,100,disabled,cores,4.77446,4789.879035711288
48,200,#pragma clang loop unrolling full, ,16,64,80,none,cores,4.76863,4820.001302719116
48,1000, ,#pragma omp parallel for,128,64,10,compact,threads,4.650029999999999,4850.379668951035
48,1280, , ,8,64,10,disabled,threads,4.671975,4880.484276771545
48,200,#pragma clang loop unrolling full, ,64,256,10,scatter,sockets,4.620010000000001,4910.44277882576
48,200, , ,4,16,64,disabled,cores,4.619885,4940.256754159927
48,2000, , ,16,8,200,compact,cores,4.76854,4970.3410222530365
48,200, , ,128,256,40,disabled,cores,4.688675,5000.120419740677
48,200, , ,16,2,200,disabled,cores,4.6954899999999995,5030.046626329422
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,128,compact,cores,4.663575,5060.429402351379
48,1000, ,#pragma omp parallel for,256,64,80,compact,cores,4.7559000000000005,5090.997388601303
32,1000,#pragma clang loop unrolling full, ,4,256,64,balanced,threads,4.625954999999999,5125.33328461647
48,640, , ,128,16,10,disabled,cores,4.7189,5156.540945291519
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,20,balanced,threads,4.616630000000001,5186.516362667084
48,1280, , ,64,256,128,disabled,sockets,4.6720950000000006,5216.65673327446
48,1280, , ,16,8,20,disabled,sockets,4.737595,5247.2796313762665
48,800, , ,96,64,10,scatter,threads,4.6650849999999995,5277.489109992981
48,200, , ,64,128,128,disabled,cores,4.6313949999999995,5307.577363729477
32,1000,#pragma clang loop unrolling full, ,4,8,128,balanced,threads,4.587325,5337.321686506271
48,200, , ,64,32,10,disabled,cores,4.6259999999999994,5367.056231975555
48,200, ,#pragma omp parallel for,2,128,100,explicit,cores,4.72178,5397.604971885681
32,400,#pragma clang loop unrolling full, ,4,64,128,scatter,threads,4.73566,5427.831023454666
48,200,#pragma clang loop unrolling full, ,4,64,10,disabled,threads,4.60933,5457.644082069397
48,200,#pragma clang loop unrolling full, ,64,32,160,disabled,threads,4.61789,5487.634360551834
48,200, , ,64,256,10,disabled,cores,4.695695000000001,5517.534869432449
48,1280, , ,16,64,128,explicit,threads,4.677495,5547.569844245911
48,1280,#pragma clang loop unrolling full, ,96,8,128,disabled,sockets,4.67498,5577.645886182785
32,1280,#pragma clang loop unrolling full, ,4,256,100,compact,threads,4.67823,5607.748252391815
48,200,#pragma clang loop unrolling full, ,64,128,64,scatter,cores,4.708494999999999,5637.877488851547
48,200, , ,256,64,10,balanced,sockets,4.57803,5667.738550901413
48,1000,#pragma clang loop unrolling full, ,16,64,10,balanced,threads,4.803710000000001,5698.139984369278
48,200,#pragma clang loop unrolling full, ,256,64,10,balanced,cores,4.686185,5728.1051387786865
32,1280, , ,4,2,160,compact,threads,4.70931,5760.144860029221
48,200,#pragma clang loop unrolling full, ,128,8,10,balanced,sockets,4.64709,5790.39214515686
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,10,balanced,threads,4.57211,5820.589609861374
32,1280, , ,8,256,128,balanced,threads,4.6097,5850.815187454224
48,200, ,#pragma omp parallel for,16,128,10,balanced,sockets,4.691815,5881.472014427185
48,640, ,#pragma omp parallel for,256,8,10,balanced,threads,4.644,5912.328564167023
48,200, , ,128,256,10,balanced,threads,4.632,5942.370535612106
48,200, , ,4,2,80,balanced,cores,4.6567050000000005,5972.36793923378
48,200,#pragma clang loop unrolling full, ,256,256,10,balanced,cores,4.917745,6002.788793087006
32,1280,#pragma clang loop unrolling full, ,128,32,100,compact,threads,4.994070000000001,6033.559849023819
32,800,#pragma clang loop unrolling full, ,4,256,80,balanced,threads,4.697505,6063.947421073914
32,1280,#pragma clang loop unrolling full, ,4,256,80,explicit,threads,4.6795,6094.192615270615
48,200, , ,256,128,160,explicit,threads,4.6155349999999995,6124.14751124382
48,200,#pragma clang loop unrolling full, ,16,64,100,scatter,threads,4.695,6154.075610876083
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,40,explicit,threads,4.641245,6184.317650556564
48,200,#pragma clang loop unrolling full, ,256,2,128,disabled,threads,4.611625,6214.106859445572
32,100, , ,2,256,100,compact,threads,4.67254,6244.209646224976
48,800,#pragma clang loop unrolling full, ,256,2,128,scatter,threads,4.6886849999999995,6274.458010673523
