p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
256,2000, , ,96,128,10,none,sockets,-19.191485,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,96,100,compact,sockets,-19.786133333333336,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,64,10,none,sockets,-18.705695000000002,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,2000, , ,96,128,100,none,sockets,-16.75815175839162,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,2000, ,#pragma omp parallel for,96,128,10,none,sockets,-16.763877675275523,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,128,100,none,sockets,-16.62968986172272,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,2000, ,#pragma omp parallel for,96,128,100,none,sockets,-16.703468384779768,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,256,100,compact,cores,-1.6713479423901453e-07,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000, ,#pragma omp parallel for,96,96,10,none,sockets,-16.67960011994183,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,2,100,none,threads,-15.458005601286743,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,96,256,200,explicit,sockets,-16.103261823618926,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,256,10,none,threads,-19.038496666666664,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,256,100,none,cores,-19.087851666666666,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,96,256,10,none,sockets,-18.890733333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
