p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
256,200, ,#pragma omp parallel for,4,32,100,disabled,threads,500000,0.33728,22.035634279251102
8,1000,#pragma clang loop unrolling full, ,8,16,20,scatter,threads,500000,1.612695,50.26186490058899
64,2000, , ,16,2,80,disabled,threads,500000,0.35620999999999997,67.02923846244812
256,1600, ,#pragma omp parallel for,16,128,100,none,cores,500000,0.463375,85.40333056449892
32,800, , ,128,4,40,scatter,cores,500000,0.49945,103.41928005218506
64,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,128,none,sockets,500000,0.35786,120.60693001747131
192,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,160,explicit,threads,500000,0.390455,138.03526377677915
96,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,500000,0.28576500000000005,154.24373507499698
32,200, ,#pragma omp parallel for,2,96,10,disabled,sockets,500000,0.4209850000000001,171.73787522315982
192,640, ,#pragma omp parallel for,96,2,10,explicit,threads,500000,0.35045,188.93705415725708
256,100, , ,32,96,80,explicit,cores,500000,0.31376,205.2689094543457
96,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,40,balanced,sockets,500000,0.31227,222.0032093524933
4,640,#pragma clang loop unrolling full, ,256,256,100,scatter,threads,500000,3.319605,265.54799032211304
4,200, , ,96,32,80,explicit,sockets,500000,3.30187,308.7062644958496
128,400, , ,8,16,10,scatter,threads,500000,0.304935,324.87587809562683
4,100, ,#pragma omp parallel for,2,8,100,none,cores,500000,3.125715,368.3155343532562
2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,160,compact,cores,500000,6.178465,458.280077457428
128,1600, ,#pragma omp parallel for,4,4,64,disabled,threads,500000,0.404005,475.5228843688965
2,100,#pragma clang loop unrolling full, ,64,96,128,compact,sockets,500000,7.487245,557.8495018482208
128,800, ,#pragma omp parallel for,16,16,128,balanced,threads,500000,0.310415,574.4992363452911
128,640,#pragma clang loop unrolling full, ,96,64,64,none,sockets,500000,0.318595,590.8376383781432
48,1280,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,disabled,threads,500000,0.350445,607.7290523052218
16,1000, , ,64,32,160,balanced,sockets,500000,0.8977799999999999,630.0871818065642
256,200, , ,64,64,20,explicit,threads,500000,0.30617,646.3892345428468
2,2000, ,#pragma omp parallel for,4,256,128,disabled,cores,500000,5.738705,712.8609046936035
192,200, , ,4,256,10,scatter,threads,500000,0.29868,728.988258600235
4,1280, , ,64,96,40,compact,threads,500000,4.105675,777.2983434200287
