p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
32,800,#pragma clang loop unrolling full, ,32,4,100,scatter,sockets,0.12766,1327.6698279380798
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,128,compact,threads,0.106555,1344.4053218364716
32,800,#pragma clang loop unrolling full, ,32,128,100,disabled,sockets,0.110895,1360.7607989311218
64,100, , ,16,2,40,compact,cores,0.104615,1377.8453783988953
64,100, , ,16,2,128,compact,cores,0.11291499999999999,1394.590835094452
32,100, ,#pragma omp parallel for,32,32,40,scatter,sockets,0.097335,1421.77406001091
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,100,compact,threads,0.09769,1439.3276376724243
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,none,threads,0.10709,1455.824189901352
32,100,#pragma clang loop unrolling full, ,8,128,100,disabled,sockets,0.09773000000000001,1472.2618358135223
2,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,balanced,cores,0.972425,1491.3362386226654
64,100, ,#pragma omp parallel for,32,256,20,compact,sockets,0.10852999999999999,1507.8231582641602
32,100,#pragma clang loop unrolling full, ,64,256,100,scatter,sockets,0.10053999999999999,1524.0994267463684
32,100,#pragma clang loop unrolling full, ,32,32,100,scatter,cores,0.09931,1540.4512071609497
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,100,scatter,sockets,0.096955,1557.0799911022186
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,80,balanced,cores,0.09484000000000001,1573.6763925552368
32,100, , ,128,32,100,scatter,sockets,0.09865499999999999,1590.0555005073547
32,100, , ,2,4,100,scatter,threads,0.098785,1606.2255992889404
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,64,scatter,sockets,0.09792999999999999,1622.8644490242004
32,100,#pragma clang loop unrolling full, ,128,256,160,disabled,cores,0.094355,1639.0708198547363
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,128,balanced,cores,0.09381500000000001,1655.8371572494507
32,100,#pragma clang loop unrolling full, ,2,256,80,explicit,cores,0.095475,1672.1797895431519
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,160,balanced,sockets,0.09383,1688.6531345844269
96,100, ,#pragma omp parallel for,32,4,20,compact,sockets,0.113895,1705.4094676971436
16,100, ,#pragma omp parallel for,64,128,20,compact,cores,0.16875,1722.2272760868073
32,100, ,#pragma omp parallel for,8,16,80,balanced,sockets,0.09473000000000001,1738.883324623108
32,100, ,#pragma omp parallel for,96,256,128,none,cores,0.09334,1755.4130446910858
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,100,disabled,sockets,0.09487000000000001,1772.1303369998932
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,100,disabled,cores,0.094715,1788.7289464473724
16,100, , ,4,16,64,compact,threads,0.16919499999999998,1805.3441133499146
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,200,balanced,sockets,0.093805,1821.9599351882935
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,128,none,cores,0.09451000000000001,1838.7284064292908
32,100, , ,256,8,64,balanced,sockets,0.09387999999999999,1854.9912734031677
32,100,#pragma clang loop unrolling full, ,32,4,128,none,cores,0.09416,1871.2210049629211
32,100,#pragma clang loop unrolling full, ,4,256,200,disabled,cores,0.094135,1887.6377725601196
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,40,compact,cores,0.098425,1904.3022117614746
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,128,balanced,sockets,0.09463,1920.9526450634003
32,100, , ,256,4,200,balanced,sockets,0.09448000000000001,1937.1494753360748
32,100, , ,256,128,100,balanced,sockets,0.094705,1953.9300754070282
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,128,balanced,threads,0.094485,1970.518009185791
32,100, ,#pragma omp parallel for,256,128,128,balanced,threads,0.094595,1987.3051872253418
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,200,balanced,sockets,0.092745,2003.7566199302673
32,100,#pragma clang loop unrolling full, ,128,96,128,balanced,sockets,0.09409000000000001,2020.2887182235718
64,100, ,#pragma omp parallel for,96,256,10,balanced,cores,0.10357,2039.4736785888672
32,100, ,#pragma omp parallel for,256,256,200,balanced,cores,0.09539,2065.9185864925385
128,100,#pragma clang loop unrolling full, ,32,256,40,balanced,cores,0.127075,2083.0488567352295
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,200,balanced,cores,0.09389,2099.711906194687
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,160,none,cores,0.09443,2116.359751224518
32,100,#pragma clang loop unrolling full, ,32,256,20,none,sockets,0.09483,2133.2647483348846
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,128,balanced,cores,0.094175,2163.950873374939
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,200,balanced,cores,0.09688,2181.4473202228546
64,100,#pragma clang loop unrolling full, ,4,256,200,balanced,cores,0.10716500000000001,2197.7210862636566
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,40,balanced,cores,0.113875,2214.5400388240814
32,100, , ,4,256,10,balanced,sockets,0.09367,2230.816840648651
64,100,#pragma clang loop unrolling full, ,32,256,100,balanced,threads,0.10799500000000001,2247.3042907714844
32,100, ,#pragma omp parallel for,32,8,10,balanced,sockets,0.094465,2273.069303035736
32,100, , ,8,256,100,balanced,sockets,0.094385,2290.5480115413666
32,100, ,#pragma omp parallel for,16,96,100,none,cores,0.09507,2307.2730243206024
64,100, ,#pragma omp parallel for,16,64,20,balanced,cores,0.10505,2328.2760801315308
32,100, , ,32,4,80,balanced,cores,0.09440499999999999,2354.9098267555237
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,200,balanced,cores,0.09437999999999999,2372.5535526275635
32,100, , ,8,256,100,compact,cores,0.10012499999999999,2400.187151670456
32,100,#pragma clang loop unrolling full, ,32,256,100,disabled,cores,0.095475,2427.002890586853
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,100,balanced,sockets,0.09442,2452.320556640625
