p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,20,balanced,cores,0.92973,1195.2378146648407
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,10,balanced,cores,0.9433549999999999,1218.3169810771942
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,128,balanced,cores,0.957545,1237.3289399147034
64,400,#pragma clang loop unrolling full, ,16,64,64,balanced,cores,0.948735,1256.2380738258362
48,100,#pragma clang loop unrolling full, ,256,8,20,balanced,cores,0.937,1274.9371824264526
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,160,balanced,cores,0.9419249999999999,1294.1183366775513
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,10,balanced,cores,0.933735,1313.1955270767212
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,10,balanced,cores,0.941065,1333.9423611164093
48,800,#pragma clang loop unrolling full, ,64,128,10,balanced,cores,0.975275,1352.6974563598633
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,100,balanced,cores,0.94126,1371.9137942790985
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,10,balanced,cores,0.93509,1390.806369304657
64,100,#pragma clang loop unrolling full, ,16,128,80,balanced,cores,0.92989,1409.7053697109222
64,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,100,balanced,cores,0.99112,1428.7276124954224
48,100,#pragma clang loop unrolling full, ,64,96,64,balanced,cores,0.93206,1447.828949213028
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,40,balanced,cores,1.05905,1469.122395515442
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,20,balanced,cores,0.9322550000000001,1489.8468704223633
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,80,balanced,cores,0.964685,1508.9347443580627
64,100,#pragma clang loop unrolling full, ,2,4,10,balanced,cores,0.9304699999999999,1527.6885657310486
48,100,#pragma clang loop unrolling full, ,64,8,80,balanced,cores,0.93169,1546.4941565990448
48,100,#pragma clang loop unrolling full, ,8,32,64,balanced,cores,0.930225,1565.1147511005402
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,80,balanced,cores,0.927755,1588.9682521820068
16,100,#pragma clang loop unrolling full, ,64,16,128,balanced,cores,1.26511,1609.9935142993927
64,200,#pragma clang loop unrolling full, ,8,64,100,balanced,sockets,0.931635,1629.425030708313
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,40,balanced,threads,0.94456,1648.4368784427643
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,80,balanced,cores,0.937425,1667.5475389957428
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,80,scatter,cores,1.03512,1686.8340837955475
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,10,balanced,cores,0.936965,1705.7350103855133
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,10,balanced,sockets,1.022035,1725.090671300888
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,10,balanced,cores,0.933395,1744.127758026123
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,100,balanced,cores,0.9319299999999999,1763.2491402626038
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,10,balanced,cores,0.93242,1782.2231092453003
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,64,balanced,sockets,0.939745,1801.420189857483
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,64,balanced,cores,0.93141,1820.3739352226257
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,20,balanced,cores,0.93598,1839.6008801460266
64,200,#pragma clang loop unrolling full, ,8,64,10,balanced,sockets,0.937325,1858.4452199935913
64,100, ,#pragma omp parallel for,64,4,10,balanced,cores,0.930085,1877.5520341396332
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,160,balanced,cores,0.928245,1896.7177734375
64,100, , ,96,8,20,balanced,cores,0.9253750000000001,1922.4965362548828
64,100, , ,96,2,80,balanced,cores,0.93356,1942.0449357032776
48,100, ,#pragma omp parallel for,64,4,10,balanced,cores,0.93154,1961.220993757248
64,100,#pragma clang loop unrolling full, ,64,8,10,balanced,threads,0.98137,1979.985975265503
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,160,balanced,cores,0.933575,1998.9790019989014
