objective,p0,p1,p2,p3,p4,p5
0.0093166666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,4
0.0037208333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,50,32
0.0032428333333333, , , ,32,100,8
0.0061771666666666,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,16
0.0044046666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100
0.0156973333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,4
0.0025233333333333, , , ,100,64,128
0.0035543333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,64,128
0.0026296666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,128
0.002907,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,128
0.0025095, , , ,100,50,128
0.003629, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,50,128
0.0024653333333333, , , ,100,2048,128
0.0024146666666666, , , ,100,100,128
0.0034221666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,128
0.0024308333333333, , , ,100,100,50
0.0024598333333333, , , ,100,128,128
0.0026538333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,128
0.0024971666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,128
0.0036636666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,100,128
0.002022, , , ,128,50,128
0.0019298333333333, , , ,100,100,16
0.0025288333333333, , , ,20,100,16
0.0027246666666666, , , ,50,100,16
0.0026715, , , ,100,2048,16
0.0026108333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,64
0.0037038333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,32
0.0048081666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,100,16
0.0071108333333333,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,100,16
0.0027393333333333, , , ,80,100,16
0.0027338333333333, , , ,100,64,16
0.0048058333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,16
0.0030978333333333, , , ,100,100,4
0.0065778333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,16
0.0024886666666666, , , ,100,8,16
0.0047621666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,2048,16
0.0027355, , , ,100,100,20
0.0024098333333333, , , ,50,100,32
0.0018139999999999, , , ,96,20,16
0.0022978333333333, , , ,100,100,8
0.004332, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,20,32
0.002657, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16
0.0027155, , , ,96,20,20
0.0020673333333333, , , ,96,32,16
0.003052, , , ,4,20,16
0.0027095, , , ,96,50,16
0.0043609999999999,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16
0.0073805,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,16
0.0024883333333333, , , ,96,20,32
0.0024713333333333, , , ,96,20,80
0.00723, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,20,16
0.0074106666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,16
0.0025048333333333, , , ,96,64,16
0.0027518333333333, , , ,128,20,16
0.0022183333333333, , , ,96,20,128
0.002299, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16
0.0026883333333333, , , ,64,20,16
0.002462, , , ,96,16,16
0.0042803333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,20,100
0.0026593333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16
0.0071853333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,20,16
0.0026295, , , ,96,100,16
0.0048563333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16
