p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,32,30,0.0047399999999999,412.7081542015076
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,80,30,0.003558,421.4981245994568
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,256,30,0.004862,431.025249004364
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,8,30,0.002679,439.7705540657044
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,64,30,0.0041375,448.62646770477295
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,80,30,0.0063405,457.8356325626373
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,4,50,30,0.004815,726.5135457515718
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,4,30,0.0035895,788.5442543029785
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,80,30,0.003613,1066.205510854721
 , , ,20,2048,20,30,0.0021525,1269.4450004100802
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,128,30,0.0033685,1366.6947958469389
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,256,30,0.0028525,1652.302413225174
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,32,30,0.003811,1887.1548192501068
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,8,80,30,0.0036829999999999,2161.625678539276
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,4,30,0.0085905,2404.6613302230835
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,256,30,0.0039235,2537.5197212696075
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,100,30,0.003841,2733.867201089859
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,16,4,30,0.0282065,3008.950475931168
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,50,30,0.0056089999999999,3183.161983013153
 , , ,50,8,32,30,0.0019885,3488.314530134201
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,128,30,0.0040695,3767.209887981415
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,4,30,0.0037115,3791.1707077026367
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,100,20,30,0.003975,4203.273921251297
 , , ,64,128,20,30,0.003456,4300.585157871245
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,30,0.0030329999999999,4350.381424427033
