objective,p0,p1,p2,p3,p4,p5
36.428653833333335, , , ,32,8,8
23.05358533333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,256
22.59563616666667, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,256
21.088776666666664, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,8,256
20.9812645, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,256
21.055210166666665, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,128,256
21.639092166666668, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256
15.763261333333332, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,256
21.914954000000005, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,256
14.858890333333337, , , ,80,8,256
30.320615, , , ,80,8,20
33.44493933333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,80
30.375446666666665, , , ,80,8,50
21.155778166666668, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,8,256
30.741234833333333, , , ,80,8,16
21.08553133333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,8,256
35.39807616666667,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,256
14.920181166666666, , , ,50,8,256
14.839648833333332, , , ,8,8,256
31.464977333333337, , , ,80,32,50
28.89345283333333, , , ,80,128,128
27.910795833333328, , , ,8,8,100
21.062319666666667,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,8,256
39.615973,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,8,32
15.593501833333336, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,256
14.549312333333331, , , ,8,100,256
28.88889983333333, , , ,32,8,64
14.567125166666663, , , ,8,128,256
21.4523725, , , ,8,8,128
14.494134666666666, , , ,8,32,256
37.6991445, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,100,50
17.198800166666665, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,256
21.331195333333337, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,100,256
32.37848383333334,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,100
14.761324166666666, , , ,80,32,256
28.9698245, , , ,8,100,80
15.78984533333333, , , ,8,4,256
29.38051983333333, , , ,8,32,32
38.78718033333334, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,64
14.5780605, , , ,16,32,256
20.430593666666667,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,256
28.083020333333337, , , ,8,32,80
20.261037166666668, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,256
