p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,32,200,47.58209050000001,21156.06529951096
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,80,200,39.038498,21518.98021388054
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,256,200,39.3660465,21884.13481235504
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,8,200,41.76374000000001,22270.00251793861
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,64,200,63.9244345,22857.620501518253
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,80,200,32.7927305,23164.51519918441
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,64,200,48.5166435,24217.01357889176
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,200,38.85024050000001,25056.047521352768
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,200,60.075273,26219.1926457882
 , , ,8,32,50,200,30.700841,27128.666866064068
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,32,200,50.5843165,28233.36631965637
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,16,200,98.490741,29765.67452096939
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,50,64,200,43.308772,30746.10471701622
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,4,16,200,56.33501,31578.815122127533
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,64,200,53.299092,32661.347217321407
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,200,31.15257350000001,33232.0245449543
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,16,200,73.71382249999998,34632.79126429558
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,80,32,200,40.485747,35749.2940659523
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,64,200,54.0605065,37005.1891310215
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,200,36.7656855,38053.8122317791
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,32,64,200,39.09855,38522.7999932766
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,20,200,50.8929785,39536.8960185051
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,128,200,34.553225,40667.02135157585
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,64,200,39.407917,41731.41135573386
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,100,16,200,86.042141,43387.60229182243
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,200,44.452602,44688.38745760918
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,50,200,48.40096550000001,45944.473744153984
 , , ,50,32,32,200,29.491137,46708.70774388313
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,80,50,200,41.046464,47634.37225008012
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,16,200,92.4961085,49379.75986146927
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,8,100,200,36.8058545,50691.871452331536
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,16,20,200,44.843063,52103.29603743552
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,32,200,39.1853455,53474.20813965797
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,200,16.252844,54618.68199491501
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,128,200,27.66897,55461.14543962479
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,200,45.4433255,56964.40029740334
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,200,15.7164075,58041.62989425659
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,80,200,38.8787225,59525.10182452202
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,4,200,109.653828,61659.32228946687
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,200,51.0336085,62601.40894341469
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,50,200,27.5961035,64042.45055222513
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,20,32,200,39.18791,65605.86762523651
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,100,256,200,21.2166365,66847.44329285622
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,32,32,200,37.9423815,68416.19447922707
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,80,200,35.135628999999994,70011.2982006073
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,50,200,66.66002499999999,71561.26813197137
 , , ,4,4,8,200,38.8817515,73090.93571591377
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,200,48.2019765,73759.64849901201
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,64,200,37.6639445,75455.49800944327
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,64,16,200,47.717138,77174.10611772537
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,80,32,200,59.924336,79001.49735951424
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,80,200,37.0109835,80440.50516891481
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,4,200,189.621927,83665.75668692589
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,16,20,200,45.748592,84942.55885004997
 , , ,64,8,100,200,26.8368825,274.75950288772583
 , , ,50,4,256,200,18.88270450000001,451.2338690757752
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,64,200,35.6139225,779.6951568126677
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,200,44.57371600000001,1228.5460832118988
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,20,200,66.985844,1879.4298062324524
 , , ,96,64,100,200,46.706705,2340.747855901718
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,50,200,63.841349,2968.94788646698
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,100,200,42.60442800000001,3353.3904643058777
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,128,256,200,25.1744835,3602.615472078324
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,8,200,96.095553,4486.853181838989
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,50,64,200,65.1830835,5096.373403787613
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,8,200,42.1242485,5572.059897422791
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,4,200,116.9740575,6775.7804226875305
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,32,16,200,57.9477465,7312.556911945343
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,200,119.306056,8455.163921356201
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,8,200,80.62642,9195.53148317337
 , , ,100,64,20,200,35.92421599999999,9567.706596374512
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,20,200,51.186415,10172.144042253494
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,4,200,171.82492050000005,12005.28553199768
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,100,128,200,36.7204865,12398.358839988708
 , , ,100,4,256,200,15.696326999999998,12548.102705955504
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,8,200,137.034144,14128.15927696228
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,80,200,52.8802335,14609.671709537504
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,80,16,200,81.531444,15276.836220026016
 , , ,4,2048,80,200,39.8288595,15621.61939406395
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,20,100,200,36.75308,15994.50698685646
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,64,200,42.240291,16403.96296930313
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,100,100,200,45.685924,16846.173350572586
 , , ,4,80,256,200,15.4829245,17000.993517160416
 , , ,8,80,32,200,33.977518,17315.754744529724
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,20,50,200,49.643755,17800.140959024433
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,128,200,34.179681,18118.203606367108
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,16,200,66.354811,18758.555894613262
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,80,200,46.2755355,19186.157114505768
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,256,200,39.006116,19556.386040925983
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,50,200,39.1335435,19922.01399588585
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,80,200,51.9613525,20417.5507273674
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,16,200,91.676912,21093.74817609787
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,20,200,71.89825350000002,21663.79890751839
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,50,200,49.0240045,22146.407401800167
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,16,128,200,32.5090455,22452.338213205338
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,32,200,73.01249250000002,23220.88730573654
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,50,200,38.554334,23587.13879871368
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,128,200,40.98560850000001,23971.14984178543
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,16,32,200,41.5118035,24378.085188627247
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,4,200,113.692245,25498.37099814415
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,32,200,71.8415575,26180.044222831733
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,8,200,63.9731125,26859.2453250885
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,32,200,58.425822,27395.247352600098
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,8,16,200,59.49652,27989.774426221844
 , , ,64,64,32,200,35.5450995,28353.220712184902
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,4,200,104.420968,30127.82963991165
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,20,256,200,22.9375135,30757.644733905792
 , , ,80,80,128,200,30.50824200000001,31730.04198169709
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,80,128,200,60.3999305,32927.89252471924
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,32,200,64.52515799999999,33784.667324543
 , , ,128,80,100,200,39.7339065,35025.902326107025
 , , ,64,64,128,200,27.6345975,35344.968739032745
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,8,200,123.16602749999998,37234.85458803177
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,8,200,126.379446,39357.14510297775
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,32,200,43.472186,40655.93434262277
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,16,200,71.2068885,41334.71000099181
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,128,200,32.9988065,41708.366050720215
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,2048,100,200,46.37065850000001,42924.50675392152
