p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
2,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.7771,5460.400348663329
192,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,16.8563,6513.691901922227
32,cores,spread,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.8397,7445.994300127028
64,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,16.1809,8434.66907119751
32,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8395,9281.399836301804
192,sockets,master,static,#pragma omp parallel for, ,#pragma omp for, ,8,16.6537,9835.060280799866
2,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.9079,10639.079391717907
2,threads,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8674,11447.656806707382
96,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,16.4214,11806.436599731443
16,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8722,12273.671436786653
64,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.9811,12843.317203998567
96,cores,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,8,15.9031,13365.582947015762
16,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.9947,14015.114683866499
256,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.943,14544.274809598923
2,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.859000000000002,15492.850996255876
32,sockets,close,static,#pragma omp parallel for, ,#pragma omp for, ,8,15.9472,16442.86028623581
48,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,16.2634,17408.443477869034
16,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for, ,8,15.7621,17898.07286381722
256,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,16.0085,18895.777690172195
8,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,8,15.7108,19865.078410625458
16,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.9626,20682.97749519348
8,sockets,close,dynamic, , ,#pragma omp for nowait, ,8,15.8236,21504.275859117508
16,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,16.0151,22321.01816725731
64,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.7507,23056.986599922184
32,sockets,spread,dynamic, , ,#pragma omp for nowait, ,8,15.9647,23221.27802777291
4,sockets,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.9403,24196.327811956406
64,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,8,16.2676,24365.8904876709
