p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
4,threads,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7298,14.627405488689355,72.7959635257721
128,sockets,master,dynamic, , ,#pragma omp for nowait, ,15.6511,14.683115508896714,142.63425517082212
96,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.3131,14.722752412503526,214.531445980072
4,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6469,14.731648565965614,284.55078363418585
4,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6225,14.73810363339451,353.86454582214355
32,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6558,14.76739866582475,423.87117314338684
16,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6905,14.77079929390445,493.69124937057495
128,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.1243,14.771323090091169,564.68093085289
192,threads,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6195,14.771564594623154,634.015594959259
4,cores,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6231,14.77236467251999,703.7101058959961
128,sockets,master,static,#pragma omp parallel for, ,#pragma omp for, ,16.1916,14.782871092927456,775.1705288887024
32,cores,spread,dynamic, , ,#pragma omp for nowait, ,15.8036,14.789020558356867,845.0460205078125
4,threads,spread,static, ,#pragma unroll,#pragma omp for, ,15.7481,14.7905220598438,914.6805670261383
128,cores,master,static, ,#pragma unroll,#pragma omp for, ,15.6674,14.793454120613198,984.1135957241057
128,threads,spread,static, , ,#pragma omp for nowait, ,15.7319,14.79394932516061,1054.1209511756897
192,threads,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7076,14.793949802616028,1123.6844434738161
256,sockets,master,static, , ,#pragma omp for nowait, ,15.6132,14.79444240228982,1193.2367017269135
192,threads,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,15.7832,14.796090190924534,1262.8222317695618
192,sockets,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.6363,14.797209061142356,1335.1598799228668
8,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,15.7814,14.798121311950144,1405.0982656478882
32,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.8014,14.798714390686186,1475.2191774845126
32,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7717,14.80059720056252,1544.9422266483307
32,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,15.7044,14.807968150753794,1614.621253490448
192,cores,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.763,14.808018628399225,1684.3251132965088
96,threads,master,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6988,14.80848392510194,1753.8735899925232
128,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.2971,14.809073559122155,1826.2542779445648
16,threads,master,dynamic, , ,#pragma omp for nowait, ,15.6224,14.812955829157227,1896.1228456497192
32,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.5633,14.818965501263538,1965.924286365509
4,threads,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7025,14.819335248174115,2035.470999956131
128,cores,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.732000000000001,14.820456916299213,2105.4101326465607
8,threads,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.5929,14.828262011872926,2175.3286066055302
192,threads,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,15.7813,14.82910553546716,2245.2167735099792
4,cores,master,dynamic, , ,#pragma omp for nowait, ,15.7146,14.832313362733185,2314.847248077393
192,cores,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7338,14.835089030695574,2384.974985122681
8,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7292,14.836803205772275,2454.429660797119
32,threads,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6554,14.837452994839046,2524.0936620235448
256,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.7678,14.838315572080932,2594.0948634147644
128,threads,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.677,14.83864727753817,2663.876924991608
2,sockets,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6958,14.840330305036135,2733.539782524109
192,threads,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7062,14.84114968554754,2803.2327060699463
2,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6252,14.842214367458695,2872.498724460602
128,threads,spread,dynamic, , ,#pragma omp for nowait, ,15.6793,14.842503066445131,2942.037478685379
128,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.6551,14.843562804503028,3011.6215240955353
4,cores,spread,static, , ,#pragma omp for nowait, ,15.7335,14.845469424428348,3081.208069086075
16,threads,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7657,14.846720958429598,3151.093818664551
