p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
256,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,17.2288,84.9297778606415
96,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.6745,155.047025680542
256,sockets,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.6434,225.18243765831002
32,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.6859,295.03326773643494
128,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,16.3853,367.0382342338562
2,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.701,437.0790865421295
4,cores,master,static, , ,#pragma omp for nowait, ,8,15.628,507.1935384273529
64,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,16.1208,579.3661081790924
8,sockets,master,static, ,#pragma unroll,#pragma omp for, ,8,15.6791,654.1766629219055
256,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,17.1352,731.1697645187378
96,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,8,15.7139,801.284964799881
192,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,8,15.7107,875.4061622619629
48,threads,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,16.0718,949.2592263221741
128,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,16.4592,1022.6382172107697
48,threads,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8,16.0196,1096.8370971679688
4,threads,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,8,15.8336,1170.9892044067385
2,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.8083,1243.8936216831207
128,threads,master,static, ,#pragma unroll,#pragma omp for, ,8,15.8777,1316.246659040451
32,sockets,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.7999,1388.0066092014313
48,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,8,15.842,1460.5443670749664
16,threads,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8,15.982000000000001,1533.61590051651
96,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8347,1606.3480632305145
