p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
96,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.895919999999999,61.01135540008545
48,threads,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,8.72015,136.8425223827362
4,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.8674800000000005,201.71354365348816
32,sockets,close,static,#pragma omp parallel for, ,#pragma omp for nowait, ,4,5.87745,267.51410913467413
256,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4,8.6203,344.6201717853546
48,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4,5.8471699999999975,409.973317861557
2,sockets,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.83173,473.8157181739807
32,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,13.102,558.64089179039
128,threads,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,6.40477,620.2044773101808
128,threads,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.2023699999999975,681.6738662719728
192,sockets,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,9.705969999999999,763.56587266922
16,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4,5.9166300000000005,828.3577930927278
64,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4,5.85139,888.4143335819244
4,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4,10.1904,964.2200262546539
64,threads,close,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.84428,1027.4676444530487
16,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4,5.80092,1090.0109548568726
192,sockets,close,static, ,#pragma unroll (6),#pragma omp for nowait, ,4,12.4456,1170.9500422477722
32,threads,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.88173,1235.0727996826172
96,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,4,5.94015,1298.6345777511594
256,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,9.855,1372.9031944274902
8,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.2022,1438.927327632904
4,sockets,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.74912,1506.5024373531342
64,sockets,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,10.1206,1582.8509867191315
8,sockets,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.98944,1644.9541075229645
128,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,4,5.9562,1708.4670028686526
64,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4,13.2917,1792.754539489746
48,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.27016,1855.5442197322845
2,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.80756,1919.9922959804533
256,threads,spread,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,12.9548,2004.7799863815308
256,cores,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.80661,2067.5858273506165
48,threads,master,static, ,#pragma unroll,#pragma omp for, ,4,5.77038,2130.2155470848083
16,sockets,close,dynamic, ,#pragma unroll,#pragma omp for, ,4,10.8269,2206.8409020900726
4,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,4,5.84641,2267.1102719306946
192,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,4,5.8483199999999975,2328.778588533401
2,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,15.8561,2415.0879225730896
32,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,4,6.50053,2482.0443329811096
96,cores,spread,dynamic, , ,#pragma omp for, ,4,6.18696,2547.5459735393524
64,cores,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,7.441289999999999,2618.9081871509547
8,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4,5.7938300000000025,2673.400573968888
192,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.33673,2749.834323167801
8,sockets,spread,dynamic, , ,#pragma omp for, ,4,8.90461,2818.5331213474274
128,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4,6.02418,2873.170999526977
48,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, ,4,7.1665300000000025,2946.278076648712
128,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4,6.40621,3008.3140604496
4,sockets,spread,static, ,#pragma unroll,#pragma omp for, ,4,5.71853,3069.249794006348
2,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,9.97671,3151.8738753795624
96,cores,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,4,5.906969999999999,3216.315810680389
16,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.78319,3278.599776983261
16,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,9.41814,3359.069100379944
256,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,4,6.699330000000002,3423.89076423645
8,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,6.768389999999999,3742.040220975876
