p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
192,threads,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.92282,62.69768929481506
16,sockets,spread,static, ,#pragma unroll,#pragma omp for nowait, ,4,5.64351,118.60882329940796
2,sockets,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4,5.8146,178.25935983657837
4,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.72703,230.73325896263125
32,sockets,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.75129,289.8018860816956
96,sockets,close,dynamic, ,#pragma unroll (6),#pragma omp for, ,4,5.6948300000000005,346.22399711608887
64,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.78599,404.0995225906372
16,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,4,5.78704,457.50284790992737
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4,6.01421,518.6616268157959
16,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4,5.7424,574.8924989700317
16,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4,6.33349,632.1351919174193
192,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.80628,687.1655638217926
64,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.14816,745.1650326251984
256,threads,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.91299,801.2356238365172
4,threads,spread,dynamic, , ,#pragma omp for nowait, ,4,6.0521,858.5506701469421
8,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.25946,916.3199596405028
4,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4,5.66183,969.660281419754
192,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.8352,1024.7003886699677
