p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
32,threads,master,static, ,#pragma unroll,#pragma omp for, ,5.83589,5.949117706318007,43.84757733345032
128,threads,master,static, ,#pragma unroll,#pragma omp for nowait, ,5.75944,6.004827703867399,83.47665762901306
8,threads,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.67088,6.044464590987827,122.891765832901
32,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.74649,6.05336074070793,162.8506155014038
4,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.59272,6.0598158054120415,202.81474685668945
32,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,5.74784,6.089110825375112,242.68891429901123
16,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.7083,6.09251145199684,281.96392250061035
192,threads,master,dynamic, ,#pragma unroll,#pragma omp for, ,5.72291,6.093276752387129,321.5616452693939
32,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,5.72298,6.094076829940499,361.24045515060425
128,cores,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.73601,6.098786004138743,400.8103108406067
128,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,5.83757,6.104583245826172,440.7406380176544
4,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.67783,6.105751178737691,480.1499891281128
32,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.71138,6.110732708599052,519.6332890987396
4,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.67586,6.112234209436226,559.1180317401886
128,sockets,master,static, ,#pragma unroll,#pragma omp for nowait, ,5.63036,6.115166268935563,598.3327262401581
128,cores,spread,dynamic, , ,#pragma omp for, ,5.68999,6.115661473268306,638.0956213474274
128,cores,close,dynamic, ,#pragma unroll,#pragma omp for, ,5.74947,6.115661950723519,677.9611678123474
64,threads,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.62168,6.116154550183723,717.3676631450653
128,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.9496,6.118921207835788,757.4095675945282
2,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.637,6.119833458247422,796.6718838214874
16,threads,master,static,#pragma omp parallel for, ,#pragma omp for, ,5.69072,6.120426536725828,836.2301757335663
16,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.74186,6.122309345783805,875.9201962947845
32,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.58695,6.129680292764716,915.3876204490662
192,cores,close,dynamic, , ,#pragma omp for nowait, ,5.67932,6.129730770388129,954.9290151596069
8,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.65502,6.130196066887828,994.4352467060089
96,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,5.82143,6.130327161512194,1034.3818819522858
128,threads,spread,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.80176,6.130785700650719,1074.073395729065
96,cores,master,dynamic, , ,#pragma omp for, ,5.71986,6.134667968989842,1113.694658756256
16,threads,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.68707,6.140677638465113,1153.419671535492
4,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.76734,6.141047385213586,1193.1528475284576
128,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,5.85388,6.142169052846757,1233.2527952194214
32,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,5.67721,6.148895379476736,1272.672404050827
2,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,5.63695,6.149974144990712,1312.3527772426605
192,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.70413,6.150817668213573,1351.6502118110657
32,sockets,master,static, , ,#pragma omp for, ,5.7415,6.154025494066057,1391.2921240329742
16,threads,master,static, , ,#pragma omp for nowait, ,5.61943,6.154557533634925,1430.8264002799988
128,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.77093,6.156801160803727,1470.710061788559
2,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.63179,6.158515335123335,1509.8308911323547
32,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.77612,6.159165123902962,1549.4225859642029
48,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,5.68457,6.160027700763557,1588.9801857471466
128,threads,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.64437,6.160359406074127,1628.4888861179352
256,threads,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.97361,6.162042432827599,1668.9754645824432
256,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.73137,6.163926494416085,1708.5775969028473
128,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,5.71282,6.164215193274659,1748.0176520347595
128,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,5.58506,6.165274930863049,1787.8139255046844
96,threads,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,5.63407,6.1684330833891465,1827.5832912921906
4,cores,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.53626,6.168961598253223,1867.1360387802124
32,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.67304,6.169234996536226,1906.5601320266724
128,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.81016,6.171015700063552,1946.4702486991882
32,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,5.75796,6.17161805101701,1986.3352723121643
192,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,5.94088,6.171935567992505,2026.6435613632202
4,cores,master,static, , ,#pragma omp for nowait, ,5.52518,6.172795230407853,2065.856532096863
4,threads,spread,static, ,#pragma unroll,#pragma omp for, ,5.73299,6.181299500714612,2105.2634727954865
4,threads,master,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.62075,6.181950135852031,2145.2314867973328
8,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.74323,6.1840580119822235,2184.904170513153
4,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.59922,6.184294100243413,2224.182799100876
128,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.72724,6.18573581514793,2264.1109364032745
128,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,5.91441,6.1865728932299735,2304.415693283081
4,sockets,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.62075,6.187208725433405,2343.8278551101685
