p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
96,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,5.63962,5.9594588826002965,43.066730976104736
4,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,5.59191,6.0283881767813785,82.75341534614563
128,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.83232,6.029374553173714,122.67136240005493
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.90977,6.033824296444312,163.13218426704407
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,5.89367,6.0518110885423955,204.68373107910156
4,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,5.72223,6.059960524047247,246.55531811714172
4,threads,close,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.6724,6.070549239618579,286.2965817451477
128,cores,spread,static, , ,#pragma omp for, ,5.71817,6.078756802516887,326.30113983154297
4,threads,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.6933,6.081992270721511,366.1970098018646
32,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.76156,6.087474551885428,406.28628492355347
32,sockets,master,static, ,#pragma unroll,#pragma omp for, ,5.62492,6.0907827030492125,445.708021402359
128,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.82722,6.09430121874219,485.9749376773834
8,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.67214,6.096394778121389,525.852041721344
128,sockets,close,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.60994,6.101874270464051,565.5014255046844
4,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.53204,6.1077419458324,605.2967677116394
32,threads,spread,dynamic, ,#pragma unroll (6),#pragma omp for, ,5.59465,6.1105394336072365,644.8021185398102
128,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.77104,6.112458729177493,685.3532989025116
96,threads,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.61654,6.117473709558288,725.4464988708496
4,threads,close,static,#pragma omp parallel for, ,#pragma omp for, ,5.55649,6.121990215818823,765.5263838768005
192,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,6.03629,6.122279145242176,806.7353668212891
96,threads,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.816,6.1226184076446,846.8662421703339
128,threads,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.82883,6.125137323428038,889.5473244190216
128,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.77689,6.1314388997634435,929.7718629837036
32,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,5.55606,6.136652412014177,969.324933052063
32,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.67762,6.137877817192912,1009.1367557048798
192,cores,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.52847,6.13808230155062,1048.5713202953339
32,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.6428,6.138754145784743,1088.1697583198547
64,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.81709,6.14120145964471,1129.625172138214
128,sockets,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.73867,6.141709350095953,1170.587323665619
48,cores,master,static, ,#pragma unroll,#pragma omp for, ,5.72239,6.144914519891879,1211.2889795303345
96,cores,spread,static, , ,#pragma omp for nowait, ,5.6527,6.146675548127485,1251.2168595790863
4,threads,spread,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.58827,6.147026638794884,1290.9235904216766
2,threads,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.61103,6.147582192493186,1330.6334834098816
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,6.00598,6.152306876917075,1371.5303106307983
192,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,6.02767,6.152805561986835,1412.276906490326
4,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,5.68395,6.155870224134977,1452.1108243465424
32,threads,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.65634,6.15732341227948,1492.23748421669
128,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.86645,6.159341632064372,1532.763839006424
128,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.80819,6.16022597055123,1572.919958114624
128,cores,spread,dynamic, , ,#pragma omp for, ,5.50745,6.1607998048942925,1612.7926621437073
96,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,5.66115,6.166240097961953,1652.6382722854614
32,threads,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.6234,6.168204216212847,1692.4911801815033
16,threads,master,dynamic, , ,#pragma omp for, ,5.64302,6.168873054700406,1732.053246974945
4,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.69733,6.172532034355498,1772.0392804145813
