objective,p0,p1,p2,p3,p4,p5,p6,p7
15.85735,32,sockets,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, 
15.799800000000001,8,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, 
16.05535,32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);
15.697849999999999,192,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, 
16.58775,192,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, 
15.8317,8,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);
16.8399,192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, 
15.71075,192,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for, 
16.86645,192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, 
15.67675,256,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, 
15.6639,192,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, 
16.55695,192,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, 
15.74325,256,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, 
15.7724,192,cores,close,static, ,#pragma unroll,#pragma omp for nowait, 
15.72015,192,cores,close,static, ,#pragma unroll (6),#pragma omp for, 
15.723849999999999,192,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait, 
15.823450000000001,96,cores,close,static, , ,#pragma omp for nowait, 
15.785250000000001,192,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);
15.87035,192,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, 
15.8198,4,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, 
15.7899,192,threads,close,static, ,#pragma unroll (6),#pragma omp for nowait, 
15.70135,192,cores,close,static, , ,#pragma omp for nowait, 
16.700400000000002,192,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait, 
15.81855,192,sockets,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, 
15.681999999999999,2,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, 
15.6328,192,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, 
16.86005,192,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, 
15.59285,192,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for, 
15.734,64,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, 
15.631,192,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for, 
15.641300000000001,192,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for, 
15.701049999999999,192,sockets,close,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);
15.62195,96,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for, 
15.7207,192,cores,close,dynamic, ,#pragma unroll,#pragma omp for, 
15.6911,192,cores,close,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);
15.67075,32,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for, 
