p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
4,2000,#pragma clang loop unrolling full, ,32,64,80,scatter,threads,S,0.509835,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_023.c,mmp_023,0.3695411260505849
64,100,#pragma clang loop unrolling full, ,32,256,10,scatter,sockets,S,0.109995,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_024.c,mmp_024,1.71285058411746
64,800, , ,32,16,10,scatter,threads,S,0.149325,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_025.c,mmp_025,1.2617110329817511
64,2000,#pragma clang loop unrolling full, ,32,2,100,scatter,cores,S,0.17039,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_026.c,mmp_026,1.1057280356828452
64,1280,#pragma clang loop unrolling full, ,4,2,10,scatter,cores,S,0.14708,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_027.c,mmp_027,1.2809695403861845
64,800, , ,32,96,80,scatter,cores,S,0.13141,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_028.c,mmp_028,1.4337188950612585
64,400,#pragma clang loop unrolling full, ,32,96,200,scatter,cores,S,0.125725,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_029.c,mmp_029,1.4985484191688208
64,640,#pragma clang loop unrolling full, ,2,2,64,scatter,cores,S,0.1528149999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_030.c,mmp_030,1.2328959853417538
64,2000,#pragma clang loop unrolling full, ,32,2,10,scatter,cores,S,0.152685,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_031.c,mmp_031,1.233945705210073
64,2000, , ,32,2,20,scatter,cores,S,0.16879,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_032.c,mmp_032,1.116209491083595
64,100,#pragma clang loop unrolling full, ,8,2,20,scatter,cores,S,0.10686,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_033.c,mmp_033,1.7631012539771664
64,640,#pragma clang loop unrolling full, ,2,2,20,scatter,cores,S,0.169265,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_034.c,mmp_034,1.113077127581012
8,640,#pragma clang loop unrolling full, ,8,96,80,scatter,cores,S,0.25524,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_035.c,mmp_035,0.7381484093402287
64,100, , ,32,2,64,scatter,sockets,S,0.108745,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_036.c,mmp_036,1.7325394271000965
