p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,2048,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,9.463904666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,2048,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,12.793268
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,13.153745333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,512,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),10.944164666666666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,2048,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,9.431811333333334
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,80,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,8.617020833333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,80,128, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,74.26859133333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,7.7021904999999995
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,7.848948166666666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,64,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,66.46825566666666
