p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,predicted,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),3.979648,0.5029560715170578,1732.1473197937012
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,128,4, , , , ,2.1994715,0.5032064379108577,1757.3335378170013
 , , ,80,64,4, , , , ,2.2439745,0.5033739220524714,1782.840836763382
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),6.562366,0.5047638354509182,1848.3186016082764
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.7432615,0.506224770735945,1896.3436179161072
 , , ,20,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.863743,0.5063919289556619,1927.242567539215
 , , ,64,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.3568095,0.5067714328463974,1953.812059879303
 , , ,16,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.4035375000000005,0.5074337724467245,1998.2952313423157
 , , ,50,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2507574999999997,0.507826171396518,2023.983346939087
 , , ,100,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.1707970000000003,0.5079612392562113,2048.3312981128693
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,5.425352999999999,0.5083393585405538,2104.3787286281586
 , , ,32,100,4, , , , ,2.2815215,0.5089297217031374,2129.955589056015
 , , ,100,20,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.5201285,0.5090639870762851,2157.7229239940643
 , , ,100,32,4, , , , ,2.2381244999999996,0.5098786245272323,2183.1526226997375
 , , ,50,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.252494,0.5105037071152552,2208.743334054947
 , , ,16,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.5814909999999998,0.5106416677584136,2237.3823137283325
