p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,isize,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,8,80, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.018815000000000002,11.869590997695925
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,50,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.00512,18.354687929153442
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.021023,24.715845584869385
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0061425,31.14521360397339
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,8, , , , ,110,0.00643,37.776435375213616
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,1024,256,16,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0091275,43.54222774505615
 , , ,4,1024,32, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.013802000000000002,49.773768663406365
 , , ,80,100,20, , , , ,110,0.0068855,57.155662059783936
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0046235,62.99096918106079
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,512, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,0.020787,69.56102633476257
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,0.0210625,75.65104818344115
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,50, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.016972499999999998,81.70442724227904
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,32,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.021136,88.21502351760864
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,8,128, , , , ,110,0.0235985,94.9021053314209
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,4,32,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.015739000000000003,101.59198665618895
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,256,16,1024, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.021235499999999997,107.49246096611023
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",512,128,64,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0172595,113.73973894119264
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,512,100, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.018524,119.49488520622252
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0205625,126.34209060668944
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",512,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.021126,132.2506244182587
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,64,1024, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0212975,138.51964783668518
