p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,512,32, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.013113
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009401833333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,8,32, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.013903
 , , ,96,128,64,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.017657166666666668
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,256,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.020935166666666668
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.01856983333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.008966
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,16,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.009541833333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.009339333333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.008970833333333334
 , , ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009004999999999999
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,1024,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.020985666666666666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009611833333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,16, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009270666666666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,8,16, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009709833333333332
 , , ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.009416166666666666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.009110833333333334
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009301333333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.020842333333333334
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005406166666666666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,512,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.009164499999999999
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.007844333333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005771666666666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005607000000000001
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,512,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006105
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",512,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005616333333333333
 , , ,96,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005138333333333333
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0064375
 , , ,96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004838833333333333
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,512,4,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.007001
 , , ,256,128,2048,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.020858333333333336
 , , ,96,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004712833333333334
 , , ,80,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005495666666666666
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.005576500000000001
 , , ,96,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005092
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004917500000000001
 , , ,64,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0047035
 , , ,96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004639
 , , ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004439666666666667
 , , ,2048,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004639666666666666
 , , ,96,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0052285
 , , ,96,128,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.016772333333333334
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004330666666666667
 , , ,96,1024,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.008220333333333331
 , , ,96,50,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005363333333333334
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005222666666666667
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004446166666666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0044835000000000005
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004196166666666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005152333333333334
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0051101666666666665
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005057166666666667
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,512,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005049166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004193166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004712
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0043465
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0042675
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004163166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004664666666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005037833333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.004850666666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004315166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,128, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.020261166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",2048,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004835
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005288
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004220666666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,512, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.020813166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,2048,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005130166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004429666666666667
 , , ,2048,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.00455
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.005055333333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0043955
 , , ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0044540000000000005
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004991333333333333
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004197333333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004197
