p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
256,2000,#pragma clang loop unrolling full, ,96,256,64,none,threads,-2.1529669748290248e-15,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,96,2,64,none,cores,10.458517454288632,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,64,none,cores,10.48791016776958,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,none,sockets,-6.777677470957465,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1600,#pragma clang loop unrolling full, ,96,256,64,none,cores,-18.134805,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,64,compact,cores,-18.049558333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,2000, , ,96,256,64,none,cores,-18.124231666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,64,none,cores,-18.18072833333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,2,2,64,none,cores,-18.155835,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,64,none,cores,10.487910166720791,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,100,disabled,cores,0.0,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,1280, , ,32,128,100,disabled,sockets,-18.159,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1280, ,#pragma omp parallel for,16,96,64,disabled,cores,-11.391901666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,400, , ,2,8,100,balanced,threads,-26.39952166666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,16,16,80,none,cores,-18.035311666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,1280,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,80,compact,sockets,-52.78788666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,200, ,#pragma omp parallel for,96,32,100,compact,sockets,-17.432076666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,400,#pragma clang loop unrolling full, ,96,256,200,explicit,cores,-29.05294833333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, , ,4,96,10,none,cores,-18.059585,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
