p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
256,1600,#pragma clang loop unrolling full, ,256,96,100,explicit,threads,10000000,16.491545000000002,10315.771560192108
48,1000,#pragma clang loop unrolling full, ,4,64,128,balanced,threads,10000000,15.64944,10471.981999874117
48,100,#pragma clang loop unrolling full, ,96,2,100,scatter,cores,10000000,15.66984,10629.373872756958
2,1000, ,#pragma omp parallel for,256,2,20,explicit,sockets,10000000,100.12009,11534.388857364656
128,200, , ,128,4,10,none,cores,10000000,16.1937,11692.806954145432
8,640,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,200,scatter,cores,10000000,26.521525,11955.167926311491
256,400,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,80,balanced,threads,10000000,16.96199,12122.77557873726
32,1280, , ,96,16,100,disabled,threads,10000000,16.764985000000006,12317.67091846466
128,1600, ,#pragma omp parallel for,256,16,64,disabled,cores,10000000,16.2898,12479.559663057327
128,640,#pragma clang loop unrolling full, ,2,32,100,compact,sockets,10000000,16.398229999999998,12643.64252948761
192,1000, ,#pragma omp parallel for,64,2,20,explicit,cores,10000000,16.300545,12806.17264842987
16,400,#pragma clang loop unrolling full, ,96,256,80,balanced,cores,10000000,15.512965,12962.78337264061
4,1000, , ,128,2,64,disabled,cores,10000000,51.970995,13433.37005162239
96,100, ,#pragma omp parallel for,256,8,200,disabled,threads,10000000,15.76494,13593.084361314774
48,1600, , ,16,2,128,none,threads,10000000,15.66235,14068.530094385147
32,1280, ,#pragma omp parallel for,2,4,128,disabled,cores,10000000,16.41807,14450.345337629318
128,1280, ,#pragma omp parallel for,8,256,10,none,threads,10000000,16.27393,14786.48826956749
2,2000,#pragma clang loop unrolling full, ,4,2,200,disabled,sockets,10000000,98.35872,16064.292629003525
2,100, ,#pragma omp parallel for,2,256,160,compact,cores,10000000,100.34247,17255.45415854454
32,200,#pragma clang loop unrolling full, ,8,64,10,explicit,sockets,10000000,16.51755,17638.532127380367
4,2000, , ,32,2,10,explicit,threads,10000000,47.910525,18347.3835978508
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,20,disabled,cores,10000000,16.261110000000002,18983.530565023422
2,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,100,disabled,cores,10000000,100.26218,20344.004763126373
256,2000, ,#pragma omp parallel for,32,2,80,explicit,threads,10000000,16.659115,20948.935609102253
256,800,#pragma clang loop unrolling full, ,128,2,10,balanced,threads,10000000,16.76086,21331.916305541992
256,1280,#pragma clang loop unrolling full, ,256,128,128,scatter,cores,10000000,16.88007,21983.537130117416
96,1000,#pragma clang loop unrolling full, ,64,32,10,disabled,threads,10000000,16.27261,22738.52402949333
64,1600, ,#pragma omp parallel for,128,2,160,balanced,sockets,10000000,16.54348,23209.27599835396
4,100, ,#pragma omp parallel for,128,96,128,explicit,sockets,10000000,47.40325,23902.79381966591
48,800,#pragma clang loop unrolling full, ,4,96,40,scatter,cores,10000000,15.663405,24492.883544206627
96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,20,disabled,cores,10000000,16.83909,25256.92505598068
16,1280, , ,256,2,80,scatter,cores,10000000,15.638165,26328.624747753143
96,800,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,20,explicit,threads,10000000,16.422,27131.01847243309
32,1280, , ,2,4,10,disabled,threads,10000000,16.964959999999998,28112.76340675354
16,200, , ,128,16,128,disabled,sockets,10000000,15.94565,28770.84391450882
16,100, ,#pragma omp parallel for,32,128,128,balanced,cores,10000000,15.357504999999998,29358.70840024948
8,640,#pragma clang loop unrolling full, ,64,2,40,none,sockets,10000000,23.59693,30754.035373210907
192,100, ,#pragma omp parallel for,128,256,10,scatter,sockets,10000000,17.906454999999994,31890.856148719784
128,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,160,scatter,sockets,10000000,17.924205,32857.346836328514
256,2000,#pragma clang loop unrolling full, ,256,96,10,balanced,threads,10000000,18.8461,33491.735239982605
192,100, , ,32,2,160,none,sockets,10000000,15.752725,34515.02839422226
96,1600,#pragma clang loop unrolling full, ,256,128,20,none,sockets,10000000,16.12069,35023.360090732574
4,200, ,#pragma omp parallel for,64,8,20,compact,sockets,10000000,57.33573000000001,36401.810568094246
256,100, , ,128,4,20,explicit,threads,10000000,15.839315,36948.20073056221
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,20,explicit,sockets,10000000,13.428715,37710.50286197662
4,1000, , ,256,96,128,balanced,sockets,10000000,49.100015,38853.60844349861
192,100, , ,128,96,80,compact,cores,10000000,16.552155,39855.8739631176
8,1280,#pragma clang loop unrolling full, ,256,16,100,none,cores,10000000,25.70755,40590.78544259071
8,640, , ,4,96,160,none,threads,10000000,26.65468,41797.78956890106
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,160,disabled,threads,10000000,15.845999999999998,42781.31887054443
64,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,200,scatter,cores,10000000,16.148020000000002,43663.39396762848
8,2000, , ,128,2,128,none,threads,10000000,26.194395,44604.518661260605
96,200, ,#pragma omp parallel for,256,2,80,compact,sockets,10000000,16.2877,45323.62743258476
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,200,disabled,cores,10000000,15.922795,46292.73164319992
8,1000, , ,2,128,100,scatter,cores,10000000,27.086145,47440.64491176605
8,200, , ,8,4,160,compact,cores,10000000,30.30347,48491.22368574144
64,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,10,balanced,sockets,10000000,16.75047,49195.55563831329
4,400,#pragma clang loop unrolling full, ,2,16,100,none,cores,10000000,51.564235,50272.41359782219
16,1280, ,#pragma omp parallel for,64,8,200,compact,threads,10000000,16.255175,50970.27655792236
192,800,#pragma clang loop unrolling full, ,2,32,80,disabled,cores,10000000,16.13087,52392.81380009651
128,640, ,#pragma omp parallel for,256,2,10,compact,threads,10000000,16.446530000000006,54101.429144620895
64,800, , ,256,4,40,compact,sockets,10000000,16.146185,54917.09223508835
