p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,size,objective,source,id
 , , ,4,64,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.007668333333333331,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02566.c
 , , ,4,100,50,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0161665,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02567.c
 , , ,8,20,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.01290283333333333,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02568.c
 , , ,4,50,50,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.016197666666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02569.c
 , , ,16,64,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.013056,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02570.c
 , , ,32,8,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0084095,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02571.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,256,32, , , , ,SM,0.013153833333333332,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02572.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,80,512, , , , ,SM,0.020795666666666667,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02573.c
 , , ,8,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.004630666666666668,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02574.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.018795166666666658,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02575.c
 , , ,4,64,64,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.017543333333333334,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02576.c
 , , ,4,80,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.012949,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02577.c
 , , ,16,2048,256,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.020786166666666668,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02578.c
 , , ,4,20,128,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.020086000000000003,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02579.c
 , , ,8,50,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.013002333333333331,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02580.c
 , , ,4,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.006410833333333334,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02581.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,50,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.015856833333333334,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02582.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,32,512, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.02097916666666667,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02583.c
 , , ,256,50,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.012758666666666668,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02584.c
 , , ,20,8,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.013300833333333331,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02585.c
 , , ,8,1024,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.012819000000000002,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02586.c
 , , ,8,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0046388333333333325,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02587.c
 , , ,20,1024,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.007485666666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02588.c
 , , ,4,32,100,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.018762833333333336,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02589.c
 , , ,256,1024,50,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.015853,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02590.c
 , , ,16,16,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.007844499999999999,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02591.c
 , , ,256,8,2048,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,SM,0.020965,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02592.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.012707166666666669,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02593.c
 , , ,4,4,512,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.02143216666666667,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02594.c
 , , ,4,50,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0091725,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02595.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.005918,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02596.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.020859666666666662,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02597.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.006687666666666667,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02598.c
 , , ,100,2048,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,SM,0.0207175,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02599.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.00965,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02600.c
 , , ,4,16,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.02093683333333333,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02601.c
 , , ,80,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.009684333333333336,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02603.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009702,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02604.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009947666666666669,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02606.c
 , , ,80,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.006011666666666668,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02607.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,256,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.0106065,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02608.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,8,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.006467833333333332,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02609.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.008893166666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02610.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,16, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009482666666666669,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02611.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.021165666666666662,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02612.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,256,256,32,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.013858166666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02613.c
 , , ,80,16,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0077416666666666675,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02614.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,8,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0066395,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02615.c
 , , ,80,4,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,SM,0.006118333333333332,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02616.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,256,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009071,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02617.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.0066046666666666675,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02618.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.008405500000000002,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02619.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009808666666666669,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02620.c
 , , ,80,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.010508666666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02622.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.009727166666666669,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02623.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.010788666666666669,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02624.c
 , , ,80,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,SM,0.009555666666666664,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02626.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.020916,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02628.c
 , , ,4,20,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0209,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02629.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,16,1024,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.0210695,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02630.c
 , , ,4,16,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.0209615,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02631.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.010352166666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02632.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.006636666666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02633.c
 , , ,80,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.010119500000000002,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02634.c
 , , ,256,16,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.020764333333333333,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02635.c
 , , ,96,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.009649833333333331,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02636.c
 , , ,4,8,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.021054,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02637.c
 , , ,4,16,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,SM,0.020834666666666668,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02638.c
 , , ,4,16,512,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.02093716666666667,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02639.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009750666666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02640.c
 , , ,8,16,1024, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.020903,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02641.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,4,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009855833333333331,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02642.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,256,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),SM,0.009274,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02644.c
 , , ,80,8,16, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.009455333333333331,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02646.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,256,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.009497166666666666,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02647.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.009373333333333327,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02648.c
 , , ,80,16,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,SM,0.006054333333333334,bliss_seed_9999,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3mm/mmp_02649.c
