p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
8,40,#pragma clang unrolling full,#pragma omp parallel for,8,8,128,compact,sockets,175,22.90971803665161,8340.108344316483
8,20,#pragma clang unrolling full,#pragma omp parallel for,2,96,160,balanced,cores,175,21.940889835357662,8566.075196027756
5,20, , ,64,96,200,scatter,cores,175,20.4019935131073,8766.689822435379
4,128, ,#pragma omp parallel for,96,128,80,scatter,cores,175,20.142789602279663,8968.591188907623
8,200,#pragma clang unrolling full, ,2,8,100,scatter,sockets,175,21.99413800239563,9280.889808416368
6,80, , ,8,96,40,compact,sockets,175,20.24961543083191,9666.211493253708
5,20, ,#pragma omp parallel for,96,96,100,compact,cores,175,21.44812083244324,9875.554266452791
8,64,#pragma clang unrolling full,#pragma omp parallel for,64,128,64,compact,sockets,175,20.673622846603397,10111.794480800629
5,64, ,#pragma omp parallel for,2,2,10,scatter,threads,175,21.075817823410038,10576.22996211052
8,160, ,#pragma omp parallel for,32,16,128,balanced,threads,175,22.004738092422485,10880.69201874733
8,200,#pragma clang unrolling full,#pragma omp parallel for,16,8,20,balanced,sockets,175,22.51206588745117,11155.509771585464
5,10, , ,64,96,10,balanced,sockets,175,20.82581758499145,11468.879346847534
6,100, , ,16,256,128,balanced,threads,175,24.610965013504032,11674.543802976608
8,160, , ,96,32,160,balanced,sockets,175,21.11498689651489,11969.658816099169
8,40, ,#pragma omp parallel for,2,32,128,compact,threads,175,21.682775735855103,12227.94010424614
8,64,#pragma clang unrolling full,#pragma omp parallel for,128,4,64,scatter,threads,175,21.35555386543274,12523.630437374117
8,80,#pragma clang unrolling full,#pragma omp parallel for,96,8,128,compact,sockets,175,21.55464720726013,12697.908413887024
6,40, ,#pragma omp parallel for,2,2,128,balanced,sockets,175,19.549996614456177,12934.577219724655
8,100, ,#pragma omp parallel for,256,8,20,balanced,sockets,175,21.995381832122803,13214.693149089811
6,100,#pragma clang unrolling full, ,96,256,128,scatter,sockets,175,20.71481704711914,13672.382349014282
4,64, ,#pragma omp parallel for,2,96,128,compact,cores,175,19.19986128807068,13965.259045124056
4,128,#pragma clang unrolling full,#pragma omp parallel for,8,128,40,scatter,sockets,175,19.572826623916622,14312.775709152222
