objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
1.0182445,4,80,#pragma clang unrolling full, ,2,2,128,balanced,cores
1.0065475,8,80, , ,8,2,128,balanced,cores
1.005341,8,80, , ,256,2,128,balanced,sockets
0.996748,8,64, , ,128,2,128,balanced,cores
1.0067075,8,80, , ,256,2,128,balanced,cores
1.0376295,6,80, , ,8,2,128,scatter,cores
1.011131,8,80, , ,2,2,128,balanced,threads
1.000603,8,80, , ,2,256,10,compact,cores
1.004748,8,80, , ,2,32,128,balanced,threads
0.9963585,8,80, , ,2,2,100,balanced,threads
0.9955295,8,80,#pragma clang unrolling full, ,4,2,128,balanced,cores
1.007973,8,80, , ,2,2,80,balanced,threads
0.9984635,7,80, ,#pragma omp parallel for,2,2,128,compact,cores
0.9948615,4,40, , ,2,2,128,balanced,cores
1.0004095,8,80, , ,2,2,100,balanced,cores
1.0000025,8,10, , ,2,2,128,balanced,cores
1.000933,8,80, , ,96,2,10,balanced,cores
1.0030595,8,100, , ,96,2,128,balanced,cores
0.99773,8,80, , ,2,128,40,balanced,cores
0.9984115,8,128, ,#pragma omp parallel for,2,2,128,balanced,cores
1.0002185,8,100,#pragma clang unrolling full, ,8,2,128,balanced,cores
1.0031905,6,160, , ,2,2,128,balanced,cores
0.993274,8,80, , ,2,64,128,scatter,cores
1.017869,6,80,#pragma clang unrolling full, ,16,128,80,balanced,sockets
1.001442,6,10, ,#pragma omp parallel for,8,96,10,compact,threads
0.997253,7,10,#pragma clang unrolling full, ,2,128,200,compact,cores
0.9971665,6,100,#pragma clang unrolling full, ,96,32,128,compact,cores
0.9970965,6,80,#pragma clang unrolling full, ,96,32,128,compact,cores
1.0150645,6,100,#pragma clang unrolling full, ,96,4,128,compact,cores
1.004701,6,100,#pragma clang unrolling full, ,96,32,128,compact,sockets
1.0094265,6,100, , ,96,32,128,compact,cores
0.9979075,6,80,#pragma clang unrolling full, ,32,32,128,compact,cores
1.001413,6,64,#pragma clang unrolling full,#pragma omp parallel for,96,32,128,compact,threads
1.0085085,4,80,#pragma clang unrolling full, ,96,32,10,compact,cores
0.993481,4,80,#pragma clang unrolling full, ,96,32,128,compact,threads
0.9968105,4,80, , ,4,32,128,scatter,sockets
0.9992225,4,80,#pragma clang unrolling full, ,96,32,160,compact,threads
0.999647,4,80,#pragma clang unrolling full, ,96,32,128,compact,sockets
0.994882,4,100,#pragma clang unrolling full, ,96,32,80,compact,threads
1.022271,4,80,#pragma clang unrolling full,#pragma omp parallel for,96,32,40,compact,threads
0.9987715,4,160,#pragma clang unrolling full,#pragma omp parallel for,96,32,128,compact,threads
1.002667,4,40,#pragma clang unrolling full, ,96,32,128,compact,threads
1.019634,4,200,#pragma clang unrolling full,#pragma omp parallel for,96,32,128,compact,threads
1.019382,7,10,#pragma clang unrolling full, ,4,32,128,compact,threads
0.988753,4,80,#pragma clang unrolling full, ,96,256,128,compact,threads
0.993373,5,80,#pragma clang unrolling full, ,96,32,128,compact,threads
0.997682,4,20,#pragma clang unrolling full, ,96,8,128,compact,threads
1.000248,4,80, , ,96,256,128,scatter,threads
0.9993825,4,128,#pragma clang unrolling full, ,96,96,80,compact,threads
0.9999075,4,80,#pragma clang unrolling full,#pragma omp parallel for,128,256,128,compact,sockets
1.0012495,4,80,#pragma clang unrolling full, ,16,256,128,compact,threads
1.000671,4,10,#pragma clang unrolling full, ,96,256,128,compact,threads
0.9974315,4,80,#pragma clang unrolling full, ,96,256,128,scatter,threads
