objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
15.4960415,5,80, ,#pragma omp parallel for,256,2,100,compact,cores
15.615937,5,80, ,#pragma omp parallel for,2,32,10,compact,cores
15.5790155,5,20, , ,16,32,100,compact,cores
15.573664,5,80,#pragma clang unrolling full, ,16,256,100,compact,cores
15.682918,5,10, ,#pragma omp parallel for,16,32,100,compact,cores
15.515017,6,80, ,#pragma omp parallel for,16,32,100,compact,sockets
15.5481515,5,80, ,#pragma omp parallel for,16,32,64,compact,cores
15.5806205,5,80, ,#pragma omp parallel for,16,32,10,compact,cores
15.4607355,5,40, ,#pragma omp parallel for,16,2,100,compact,cores
15.419476,5,80, ,#pragma omp parallel for,16,32,160,balanced,cores
15.46624,5,80, ,#pragma omp parallel for,16,32,80,compact,cores
15.5084675,6,80, ,#pragma omp parallel for,64,32,100,compact,cores
15.5889275,4,160, ,#pragma omp parallel for,16,32,100,compact,cores
15.51517,5,80, ,#pragma omp parallel for,32,32,100,compact,threads
15.530285,6,80, ,#pragma omp parallel for,16,32,160,compact,cores
15.5170235,5,80,#pragma clang unrolling full,#pragma omp parallel for,16,32,100,balanced,cores
15.601008,5,80,#pragma clang unrolling full,#pragma omp parallel for,16,16,100,balanced,cores
15.5251475,5,128, ,#pragma omp parallel for,16,64,100,compact,cores
15.5966475,8,100, ,#pragma omp parallel for,16,32,100,compact,cores
15.4807845,5,160, ,#pragma omp parallel for,8,32,100,compact,threads
15.425403,5,160, ,#pragma omp parallel for,16,96,100,compact,sockets
15.4875385,5,80,#pragma clang unrolling full,#pragma omp parallel for,16,32,128,compact,cores
15.570279,6,80, ,#pragma omp parallel for,16,32,100,compact,cores
15.53702,5,80, ,#pragma omp parallel for,16,32,100,scatter,sockets
15.4973685,5,80, ,#pragma omp parallel for,16,4,100,compact,sockets
15.653295,5,100, ,#pragma omp parallel for,96,32,100,compact,threads
15.5695355,5,80, ,#pragma omp parallel for,16,32,128,compact,cores
15.476157,5,80, ,#pragma omp parallel for,16,2,100,compact,threads
15.4901265,5,80, ,#pragma omp parallel for,2,128,100,compact,cores
15.5381125,5,80, , ,4,32,100,compact,cores
15.576477,6,80, ,#pragma omp parallel for,16,256,100,compact,cores
15.479633,6,80, ,#pragma omp parallel for,16,32,100,balanced,sockets
15.4977005,5,64, ,#pragma omp parallel for,16,128,100,compact,cores
15.4941475,5,128, ,#pragma omp parallel for,96,32,100,balanced,cores
15.5679365,5,128, ,#pragma omp parallel for,8,32,100,compact,cores
15.5062225,5,80, ,#pragma omp parallel for,16,128,160,compact,cores
