p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,16,0.020012500000000003,722.9357516765594
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,32,0.0073595,733.8383150100708
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,64,0.0055864999999999995,744.7607543468475
 , , ,4,100,64,0.0057955,755.3610348701477
 , , ,8,100,64,0.0057725,766.9291896820068
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,256,0.0095595,778.0485908985138
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,4,0.009908,788.9810762405396
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,128,4,0.0793565,801.2888512611389
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,64,0.009500000000000001,812.6214747428894
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,0.0439905,824.3179740905762
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,128,64,0.009553,835.5079615116119
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,64,4,0.043520500000000004,847.2857775688171
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,128,4,0.042662,859.0895631313324
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,128,4,0.043578500000000006,870.6839802265167
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,0.009835,881.7838680744171
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,0.010033,892.7008562088013
 , , ,128,128,4,0.008723999999999999,903.5639982223511
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,128,80,0.0131155,915.1773202419281
 , , ,128,100,4,0.009853,926.2267599105835
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,4,0.0224865,937.8428971767426
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,128,20,0.0127905,949.2619326114655
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,0.011803000000000001,961.0217387676239
 , , ,128,80,4,0.008812,971.9292528629303
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,0.0673775,984.5012090206146
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,16,0.0091895,995.7802767753601
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,100,50,0.009558,1007.3769464492798
 , , ,100,32,64,0.005743,1018.1685609817505
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,20,128,0.014568,1030.7435319423676
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,50,4,0.045382,1042.5407176017761
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,0.010033,1053.53244638443
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,4,0.009204500000000001,1065.30468916893
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,0.0094345,1076.160177230835
 , , ,100,4,64,0.005843,1086.755187034607
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,4,0.045149499999999995,1098.6206963062286
 , , ,8,50,64,0.0056819999999999996,1110.163630247116
 , , ,4,50,64,0.005639,1120.761574268341
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,64,0.0058235000000000006,1132.396850824356
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,50,4,0.0094875,1144.9878714084625
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,128,64,0.009579500000000001,1156.676433801651
 , , ,8,32,8,0.007996,1169.1521043777466
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,8,0.007750999999999999,1180.3952071666718
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,8,0.027493,1192.3570291996002
 , , ,4,2048,8,0.009701000000000001,1204.3148264884949
 , , ,4,128,8,0.0093605,1215.768096446991
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,8,0.027549999999999998,1227.3327214717865
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,8,0.008102999999999999,1238.9203515052795
 , , ,100,2048,64,0.0057195,1249.6522364616394
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,100,0.009597999999999999,1261.0841267108917
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,64,0.0060575,1271.7837204933167
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,32,8,0.037115999999999996,1284.2612190246582
 , , ,96,2048,8,0.009177,1295.2098808288574
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,64,0.011692500000000002,1306.9795734882355
 , , ,96,128,8,0.00913,1318.04403090477
 , , ,96,32,8,0.010319,1329.6674389839172
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.0361345,1341.940407037735
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.0116255,1353.8776037693024
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.008975,1365.530916929245
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,0.014551999999999999,1377.7128202915192
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,64,0.011607,1389.9436919689178
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,8,0.03498,1408.5300204753876
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,8,0.0257825,1420.272165298462
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,8,0.0078525,1431.4718034267426
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,8,0.0098315,1443.643263578415
 , , ,4,32,8,0.0079135,1456.0662324428558
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,20,0.018314,1468.960248708725
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,50,0.0118145,1481.2977256774902
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,80,0.0095395,1492.443955898285
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,8,0.008691,1503.513585805893
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,8,0.0090495,1515.312643289566
