p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,4,0.003859,496.57341599464417
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,80,0.000571,507.84429359436035
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,4,0.0026620000000000003,519.9271147251129
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,8,50,0.0010205000000000001,532.1297364234924
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,4,0.001465,544.2051923274994
 , , ,50,8,4,0.000327,555.5016467571259
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,20,4,0.0036544999999999998,567.7189033031464
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,4,0.001063,579.1577935218811
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,64,0.0004555,590.0780153274536
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,0.0032785,602.9650146961212
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,100,4,0.0036674999999999998,615.0215287208557
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,0.001599,627.4533815383911
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,16,0.0010084999999999998,638.9374115467072
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,8,4,0.005235,651.7624206542969
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,128,4,0.0020265,663.8181712627411
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,16,0.00027,676.3921663761139
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,20,4,0.003661,688.4507629871368
 , , ,50,8,16,0.000282,699.1301617622375
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,16,4,0.005017499999999999,712.2794830799103
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,4,0.002664,724.3946671485901
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,20,16,0.001702,736.4447166919708
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,32,4,0.003693,748.9973893165588
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,2048,4,0.0020345,760.4625945091248
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,50,4,0.0036545,772.5873982906342
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,16,0.000263,783.4644606113434
 , , ,50,20,16,0.0003015,794.2147159576416
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,0.0008179999999999999,806.138111114502
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,4,0.003652,818.3423805236816
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,128,4,0.0036545,830.3875954151154
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,80,4,0.003666,842.4615495204926
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,2048,4,0.003673,854.7976100444794
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,20,4,0.0020435,866.222978591919
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,8,16,0.001338,877.9503266811371
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,4,0.0026820000000000004,890.3259246349335
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,16,0.001322,902.3225567340851
 , , ,50,128,16,0.000269,913.1141002178192
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,4,0.0020695,924.7100837230682
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,0.00032450000000000003,936.0424017906189
 , , ,20,8,16,0.000288,946.7300546169281
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,4,0.002669,959.0031046867371
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,128,0.0006670000000000001,970.4218852519989
 , , ,4,20,16,0.0002655,981.1334805488586
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0010735,992.6610329151154
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.0006655000000000001,1004.3860275745392
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,4,0.001471,1016.417019367218
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,20,4,0.0037185,1028.9058108329773
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,4,0.002036,1040.902338027954
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,20,0.0004655,1051.845213651657
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,16,0.001709,1064.310158252716
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,4,0.0026595,1076.6046752929688
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,64,4,0.0036515000000000002,1088.6823275089264
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,4,0.0020565,1100.1130216121674
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,64,16,0.001029,1111.5892295837402
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,16,0.001315,1123.7892668247223
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,64,64,0.000503,1134.787564277649
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,100,4,0.002042,1146.7356524467468
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,4,0.0026725,1158.859023809433
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,0.000276,1171.1685960292816
 , , ,4,16,16,0.0002795,1182.381070613861
 , , ,4,80,16,0.0002295,1193.2662899494171
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0026725,1205.5271503925323
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,4,0.001413,1217.7221324443817
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,50,16,0.0010270000000000001,1229.0645561218262
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,0.00026900000000000003,1240.6290361881256
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,80,4,0.002031,1252.2461731433868
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,32,0.000289,1263.8851199150085
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,50,16,0.0019075,1275.9579019546509
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,4,0.0030585,1288.7898490428925
 , , ,100,8,4,0.0003695,1300.1336812973022
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.0013275000000000001,1312.3131580352783
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,0.003872,1325.2590959072113
 , , ,4,20,32,0.0002525,1336.7223091125488
