p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , , ,64,8,100,200,26.8368825,274.75950288772583
 , , ,50,4,256,200,18.882704500000006,451.2338690757752
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,64,200,35.6139225,779.6951568126677
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,200,44.57371600000001,1228.5460832118988
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,20,200,66.985844,1879.4298062324524
 , , ,96,64,100,200,46.706705,2340.747855901718
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,50,200,63.841349,2968.94788646698
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,100,200,42.60442800000001,3353.3904643058777
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,128,256,200,25.1744835,3602.6154720783234
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,8,200,96.09555300000001,4486.853181838989
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,50,64,200,65.1830835,5096.373403787613
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,8,200,42.1242485,5572.0598974227905
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,4,200,116.9740575,6775.7804226875305
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,32,16,200,57.9477465,7312.556911945343
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,200,119.306056,8455.163921356201
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,8,200,80.62642,9195.53148317337
 , , ,100,64,20,200,35.92421599999999,9567.706596374512
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,20,200,51.186415000000004,10172.144042253494
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,4,200,171.82492050000005,12005.28553199768
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,100,128,200,36.7204865,12398.358839988708
 , , ,100,4,256,200,15.696326999999998,12548.102705955504
