p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,50,0.0016235,0.00024544468960738226,9.53680944442749
 , , ,4,8,4,0.0019055,0.00032492680164351645,19.15848708152771
 , , ,96,8,100,0.0019260000000000002,0.0003630440193749144,28.777912616729736
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,64,0.0015530000000000001,0.0004231321561675544,37.738478660583496
 , , ,8,128,4,0.0022955,0.0004360539060254908,47.36017680168152
 , , ,20,2048,4,0.0022375,0.0005098739546897622,57.570207834243774
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,20,0.001663,0.000531246047577042,67.47116494178772
 , , ,128,20,4,0.002286,0.000550752418868994,77.50839710235596
 , , ,128,100,100,0.001422,0.0005921118752737765,85.40391254425049
 , , ,96,50,4,0.0033615,0.0006512763554640667,93.81346201896667
 , , ,32,128,4,0.0034625,0.0006769382489343022,102.24022459983826
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,100,0.0026015,0.0006833848100562777,110.21569418907166
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.0024865,0.0006926299513340452,118.15389442443848
 , , ,32,32,16,0.002683,0.0007020183878435155,126.29345059394836
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,4,0.003288,0.0007139201975151243,134.75751185417175
 , , ,128,16,4,0.0036839999999999998,0.0008519254206028006,143.59734892845154
 , , ,4,50,100,0.0023975,0.00087207107457806,152.0306098461151
 , , ,4,100,16,0.0030285,0.0008900432939372149,162.45714354515076
 , , ,128,128,64,0.0024275,0.0009089252472185231,170.35414385795593
 , , ,100,2048,16,0.0026975000000000002,0.0009786650757922903,178.49179029464722
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,64,0.0027575,0.0010320578163948914,186.68768763542175
 , , ,32,16,20,0.0026895,0.001046407488459182,195.2404329776764
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,8,0.003359,0.0010587021658181705,204.10842609405518
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,4,0.0034735,0.0011030825720562965,212.66967964172363
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,32,0.002464,0.0011636211051045484,221.22729539871216
 , , ,128,100,16,0.0026885,0.0012331302802006594,229.4638271331787
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,100,0.0024505,0.001242377715122154,238.00767374038696
 , , ,8,100,8,0.0030800000000000003,0.001274709018402638,246.70373582839966
 , , ,128,2048,20,0.0027915,0.0012884476002741011,254.96355175971985
 , , ,128,64,64,0.0024395,0.0014574693614127121,263.025714635849
 , , ,128,128,4,0.003291,0.0015322589627372943,271.565958738327
 , , ,100,128,100,0.001449,0.0015375939724823254,279.5972306728363
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,0.0032965,0.0015766894527400278,288.22238516807556
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,20,0.0030825,0.0018445814438621043,298.1044342517853
 , , ,100,16,64,0.002489,0.0018670889589904745,306.32642793655396
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,0.002635,0.00192914762395829,314.3427686691284
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,64,0.0024465,0.001981819695503159,323.5864293575287
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,20,0.0027845,0.0020266101735628957,331.75523829460144
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,80,0.0024885000000000003,0.0022273612038704103,340.190381526947
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,0.002776,0.00226723818205219,348.67760157585144
