p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,20,200,40.516719,19143.182612895966
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,8,200,87.269102,19943.04341864586
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,8,200,128.68962549999998,21112.024664878845
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,64,200,36.081123999999996,21448.445071458817
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,20,200,44.551629,21859.1584379673
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,64,80,200,37.75926550000001,22209.46096658707
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,128,200,30.2604865,22490.91770243645
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,64,80,200,42.201037,23489.62956023216
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,128,200,44.8661005,24158.55708885193
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,16,200,55.8476695,25323.056746244434
 , , ,128,16,80,200,28.2924605,26233.21253824234
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,20,200,36.5296665,27285.33338546753
 , , ,20,64,16,200,32.1312015,28240.509525060654
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,20,200,40.810536,29174.0927746296
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,32,200,38.0567955,30080.431031227115
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,64,200,38.622857,31089.39982771873
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,4,200,170.8380945,33208.927076339714
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,32,200,49.859239,34175.904657840736
