p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
6,64,#pragma clang unrolling full, ,32,2,100,scatter,threads,75,1.5553190000000001,15669.64909529686
4,10, ,#pragma omp parallel for,96,2,200,balanced,threads,75,1.2884209999999998,16219.124758243559
4,20,#pragma clang unrolling full, ,32,16,100,compact,threads,75,1.292127,17359.10450816154
5,20, ,#pragma omp parallel for,64,64,40,compact,sockets,75,1.583526,18105.01249051094
7,40,#pragma clang unrolling full,#pragma omp parallel for,2,32,20,compact,cores,75,1.630371,18507.45635819435
8,128, ,#pragma omp parallel for,128,4,200,balanced,threads,75,1.762725,19081.459869861603
8,100,#pragma clang unrolling full,#pragma omp parallel for,16,256,100,balanced,threads,75,1.97468,19703.54925084114
7,64,#pragma clang unrolling full,#pragma omp parallel for,128,32,128,balanced,threads,75,1.6881700000000002,20210.43984079361
7,20,#pragma clang unrolling full,#pragma omp parallel for,4,32,20,balanced,threads,75,1.6642270000000001,21522.47052025795
5,80,#pragma clang unrolling full, ,4,256,64,scatter,cores,75,1.5224540000000002,21900.16736865044
5,160, , ,256,16,100,balanced,sockets,75,1.4724059999999999,22614.80217099189
6,10, , ,256,4,10,scatter,cores,75,1.458603,23363.082145929337
8,160,#pragma clang unrolling full,#pragma omp parallel for,4,2,64,balanced,threads,75,1.6872610000000001,24022.270741701133
4,64,#pragma clang unrolling full,#pragma omp parallel for,256,96,10,compact,cores,75,1.30077,24737.973930835724
6,128,#pragma clang unrolling full,#pragma omp parallel for,8,64,40,balanced,cores,75,1.75935,25721.020429611206
4,10,#pragma clang unrolling full,#pragma omp parallel for,64,96,160,scatter,sockets,75,1.409146,26575.889201402668
8,200,#pragma clang unrolling full,#pragma omp parallel for,32,8,100,balanced,sockets,75,2.033452,28637.832440614704
6,64,#pragma clang unrolling full,#pragma omp parallel for,4,16,160,scatter,threads,75,2.303041,30329.943670749664
6,20,#pragma clang unrolling full, ,256,16,200,compact,threads,75,1.820225,31039.603881835938
8,160,#pragma clang unrolling full,#pragma omp parallel for,8,64,128,balanced,sockets,75,1.6988009999999998,31748.661319971085
8,10, , ,4,16,128,scatter,threads,75,1.6585130000000001,32078.770899534222
6,10, , ,128,2,80,balanced,cores,75,2.121481,32583.442620038983
5,64, ,#pragma omp parallel for,96,2,40,scatter,cores,75,1.59277,33200.04523229598
7,20,#pragma clang unrolling full,#pragma omp parallel for,2,64,64,balanced,sockets,75,2.82811,33643.65141129494
4,160,#pragma clang unrolling full,#pragma omp parallel for,4,8,200,scatter,cores,75,1.22894,34625.232113361366
6,200,#pragma clang unrolling full, ,4,16,160,balanced,sockets,75,1.537262,35191.932611465454
5,64, , ,8,8,160,balanced,threads,75,2.407223,35840.506841897964
5,80, ,#pragma omp parallel for,8,128,80,scatter,cores,75,1.7960779999999998,36833.75895857811
5,200, ,#pragma omp parallel for,64,8,100,balanced,cores,75,2.359852,37617.19998240471
4,160,#pragma clang unrolling full, ,16,32,128,compact,sockets,75,1.423859,38459.28489804268
5,100, , ,96,256,20,balanced,sockets,75,1.5550979999999999,39125.25348043442
7,100, ,#pragma omp parallel for,256,256,160,balanced,sockets,75,1.737494,39807.56719827652
