p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
6,20,#pragma clang unrolling full, ,64,16,200,compact,sockets,-18.895748217900593,True,-1,initial_sampling,Random_Sampling
8,200, ,#pragma omp parallel for,96,256,100,compact,cores,-19.33733876546224,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200, , ,96,256,100,balanced,cores,-19.377383947372437,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
4,128, , ,96,256,20,compact,threads,-17.69491632779439,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,256,100,balanced,threads,-19.39794683456421,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100, ,#pragma omp parallel for,96,256,100,scatter,threads,-19.313193162282307,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200, ,#pragma omp parallel for,96,256,100,balanced,threads,-19.507681608200073,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
5,64,#pragma clang unrolling full, ,8,32,100,balanced,threads,-19.2816428343455,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,balanced,cores,-19.799089352289837,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,balanced,sockets,-19.405900796254475,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full, ,96,256,100,balanced,cores,-19.44362449645996,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
6,128, , ,2,128,40,scatter,sockets,-18.356418689092,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,balanced,cores,-19.774153470993042,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,100,#pragma clang unrolling full, ,96,4,200,compact,sockets,-20.313972632090252,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
7,100,#pragma clang unrolling full, ,96,128,100,balanced,cores,-20.337170521418255,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
6,100, ,#pragma omp parallel for,256,128,200,compact,sockets,-18.56917095184326,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100, , ,96,128,100,compact,sockets,-20.336670796076458,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,80, , ,256,64,100,compact,sockets,-19.963879267374676,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
7,100, , ,256,128,100,balanced,sockets,-20.398298978805542,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,256,256,100,compact,sockets,-20.38682421048482,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,200, , ,256,256,200,balanced,cores,-17.702550729115803,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full, ,256,128,200,balanced,cores,-19.959866603215534,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,96,256,200,compact,threads,-20.521736303965252,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200, ,#pragma omp parallel for,96,256,200,compact,threads,-20.52961262067159,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
