p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
6,20,#pragma clang unrolling full, ,64,16,200,compact,sockets,-3.3821375370025635,True,-1,initial_sampling,Random_Sampling
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,scatter,sockets,-2.9684174060821533,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200, , ,96,256,100,balanced,cores,-2.977396011352539,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,128, , ,256,16,10,compact,threads,-2.9068757692972818,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,256,100,balanced,threads,-2.944650967915853,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,10, , ,96,256,100,compact,threads,-2.968311150868734,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200, ,#pragma omp parallel for,96,256,100,balanced,threads,-2.976279338200887,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
5,64,#pragma clang unrolling full, ,8,32,100,balanced,threads,-2.8159023920694985,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,balanced,cores,-3.0168901284535727,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,scatter,cores,-2.94736377398173,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full, ,96,256,100,balanced,cores,-2.8860062758127847,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
6,128, , ,2,128,40,scatter,sockets,-2.7093204657236734,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
