objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
15.516171,7,10,#pragma clang unrolling full, ,64,128,200,compact,cores
15.5188785,4,128, , ,32,96,20,compact,cores
15.446048000000001,7,10,#pragma clang unrolling full, ,32,8,200,compact,cores
15.4761825,7,10,#pragma clang unrolling full, ,128,128,200,compact,cores
15.436061500000001,7,10, , ,64,128,200,compact,cores
15.417777999999998,7,64,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.4928785,7,64, , ,128,16,200,balanced,cores
15.514319,7,80,#pragma clang unrolling full, ,32,16,200,balanced,threads
15.4988405,7,64,#pragma clang unrolling full, ,32,16,200,scatter,cores
15.521114,4,64, , ,32,16,200,balanced,cores
15.551103999999999,7,64,#pragma clang unrolling full, ,32,64,200,balanced,cores
15.5506045,7,64,#pragma clang unrolling full, ,32,96,200,balanced,cores
15.5004785,7,80,#pragma clang unrolling full, ,32,16,10,balanced,threads
15.553416,7,40,#pragma clang unrolling full,#pragma omp parallel for,8,16,200,balanced,cores
15.480094999999999,7,100,#pragma clang unrolling full,#pragma omp parallel for,32,16,200,balanced,cores
15.5124095,6,64,#pragma clang unrolling full, ,32,16,200,compact,cores
15.505492499999999,7,20,#pragma clang unrolling full, ,32,16,100,balanced,cores
15.500417,7,64,#pragma clang unrolling full, ,32,32,200,balanced,cores
15.422550000000001,7,20,#pragma clang unrolling full, ,2,16,10,balanced,sockets
15.4716115,7,64,#pragma clang unrolling full, ,32,16,64,balanced,cores
15.5180625,4,64,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.501515999999999,7,64,#pragma clang unrolling full, ,32,128,200,scatter,cores
15.7186635,5,64,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.704293499999999,7,64,#pragma clang unrolling full, ,32,16,10,balanced,cores
15.565003,7,64,#pragma clang unrolling full, ,32,128,200,balanced,sockets
15.535253,7,64,#pragma clang unrolling full,#pragma omp parallel for,32,16,200,balanced,cores
15.483116,8,200, , ,32,16,200,balanced,cores
15.4919145,6,64,#pragma clang unrolling full, ,32,256,200,balanced,cores
15.4591765,7,64,#pragma clang unrolling full, ,32,96,10,balanced,cores
15.5933455,7,64,#pragma clang unrolling full, ,2,16,200,balanced,cores
15.5110835,6,64,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.530828499999998,7,10,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.544248,7,64,#pragma clang unrolling full, ,96,16,200,balanced,cores
15.5324055,7,64, , ,32,16,200,balanced,cores
15.4564825,7,80,#pragma clang unrolling full, ,32,96,200,balanced,cores
15.5411335,7,64,#pragma clang unrolling full, ,32,32,64,balanced,cores
15.524984499999999,7,128,#pragma clang unrolling full, ,32,16,200,compact,cores
15.496537499999999,7,64,#pragma clang unrolling full, ,4,16,200,balanced,cores
15.5422775,7,64,#pragma clang unrolling full, ,32,16,200,balanced,threads
15.510502500000001,8,100,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.603096,7,64,#pragma clang unrolling full, ,32,16,200,compact,cores
15.6361305,7,64,#pragma clang unrolling full, ,256,16,200,balanced,sockets
15.6534795,7,80,#pragma clang unrolling full, ,2,16,10,balanced,threads
15.616914000000001,4,64,#pragma clang unrolling full, ,96,16,200,balanced,sockets
15.6089125,7,40, , ,32,16,200,balanced,cores
15.6527445,7,64,#pragma clang unrolling full, ,32,16,200,compact,sockets
15.6836695,7,64,#pragma clang unrolling full, ,16,16,200,balanced,cores
15.681341,8,64,#pragma clang unrolling full, ,32,16,200,balanced,sockets
15.5880755,7,100,#pragma clang unrolling full, ,32,16,200,balanced,cores
15.624772,7,64,#pragma clang unrolling full, ,32,96,200,balanced,threads
15.670898000000001,7,64,#pragma clang unrolling full, ,32,256,200,balanced,cores
15.705106,7,64,#pragma clang unrolling full, ,256,16,200,balanced,cores
15.639614,5,64,#pragma clang unrolling full, ,96,16,200,balanced,threads
15.692442,7,64,#pragma clang unrolling full,#pragma omp parallel for,16,16,200,compact,cores
15.615468,7,64,#pragma clang unrolling full, ,32,2,200,scatter,cores
15.574508999999999,7,80,#pragma clang unrolling full, ,32,16,200,scatter,cores
15.54631,4,128,#pragma clang unrolling full, ,32,16,200,compact,cores
15.6544255,7,64,#pragma clang unrolling full, ,32,16,40,balanced,cores
