p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , , ,128,20,16,130,0.001464,5.576457738876343
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,20,130,0.0010695,5.61954927444458
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,8,130,0.0015635,5.662343263626099
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,8,130,0.001592,5.704371929168701
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,64,130,0.0012815,5.746905088424683
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,20,130,0.0012040000000000002,5.789976119995117
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,64,80,130,0.0012894999999999998,5.8322179317474365
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,128,130,0.00112,5.8742218017578125
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,20,32,130,0.002064,36.655097484588616
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,80,128,130,0.0012875,51.37230491638184
 , , ,32,2048,16,130,0.0011705,151.9630393981934
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,20,130,0.001174,183.13461446762085
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,16,130,0.000699,518.7741196155548
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,2048,100,130,0.001281,544.6524960994719
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,16,130,0.0013295,728.5996198654175
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,64,80,130,0.0019105,751.494922876358
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,130,0.001214,773.7839961051941
 , , ,100,64,64,130,0.0012775,882.2047882080078
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,100,80,130,0.0013695,899.3791351318359
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,80,130,0.000562,1099.1859276294708
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,4,130,0.0020485,1134.638347864151
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,128,20,130,0.0021675,1374.903341293335
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,32,130,0.001192,1408.9125332832336
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,32,50,130,0.001245,1599.32417345047
