p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,32,130,0.0012200000000000002,3.666672945022583
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,128,130,0.0012404999999999998,3.7263379096984863
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,80,130,0.0013484999999999999,3.765852928161621
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,64,20,130,0.0021774999999999997,3.803562879562378
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,130,0.001284,3.841435432434082
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,4,130,0.0018170000000000005,3.8865597248077393
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,8,130,0.0012105000000000002,3.9254117012023926
 , , ,32,32,8,130,0.0013709999999999998,3.964362382888794
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,32,50,130,0.002148,4.003340482711792
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,20,130,0.001231,4.042871952056885
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,16,130,0.0018645,4.08237361907959
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,64,130,0.0019774999999999997,4.121571063995361
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,8,64,130,0.0012275,4.161180019378662
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,20,100,130,0.001196,4.200700521469116
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,50,130,0.0012755000000000002,4.2395734786987305
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,128,130,0.0011,4.278614044189453
 , , ,96,80,16,130,0.001177,4.3179969787597665
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,100,64,130,0.001503,4.364745140075684
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,8,130,0.0010600000000000002,4.4056129455566415
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,32,130,0.0013185,4.445700645446777
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,128,130,0.000776,4.485450744628906
 , , ,80,2048,16,130,0.0011655,4.52615213394165
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,80,20,130,0.0013055,4.565629720687866
 , , ,20,128,4,130,0.0016335000000000002,4.642160654067993
